#      date    value 
 1985-01-01        0 
 1985-01-02        0 
 1985-01-03        0 
 1985-01-04        0 
 1985-01-05        0 
 1985-01-06   0.1875 
 1985-01-07   0.5625 
 1985-01-08   0.3125 
 1985-01-09        0 
 1985-01-10        0 
 1985-01-11        0 
 1985-01-12        0 
 1985-01-13        0 
 1985-01-14        0 
 1985-01-15        0 
 1985-01-16        0 
 1985-01-17        0 
 1985-01-18        0 
 1985-01-19        0 
 1985-01-20        0 
 1985-01-21        0 
 1985-01-22   0.0625 
 1985-01-23        0 
 1985-01-24        0 
 1985-01-25        0 
 1985-01-26        0 
 1985-01-27        0 
 1985-01-28        0 
 1985-01-29        0 
 1985-01-30        0 
 1985-01-31   0.1875 
 1985-02-01        0 
 1985-02-02        0 
 1985-02-03        0 
 1985-02-04        0 
 1985-02-05        0 
 1985-02-06        0 
 1985-02-07        0 
 1985-02-08        0 
 1985-02-09        0 
 1985-02-10        0 
 1985-02-11        0 
 1985-02-12        0 
 1985-02-13        0 
 1985-02-14        0 
 1985-02-15        0 
 1985-02-16        0 
 1985-02-17        0 
 1985-02-18        0 
 1985-02-19        0 
 1985-02-20        0 
 1985-02-21        0 
 1985-02-22        0 
 1985-02-23        0 
 1985-02-24        0 
 1985-02-25        0 
 1985-02-26        0 
 1985-02-27        0 
 1985-02-28        0 
 1985-03-01        0 
 1985-03-02        0 
 1985-03-03        0 
 1985-03-04        0 
 1985-03-05        0 
 1985-03-06        0 
 1985-03-07   0.0625 
 1985-03-08        0 
 1985-03-09        0 
 1985-03-10     0.25 
 1985-03-11        0 
 1985-03-12        0 
 1985-03-13   0.4375 
 1985-03-14    0.875 
 1985-03-15        0 
 1985-03-16        0 
 1985-03-17     0.25 
 1985-03-18    0.125 
 1985-03-19   0.1875 
 1985-03-20   0.0625 
 1985-03-21        0 
 1985-03-22        0 
 1985-03-23   0.6875 
 1985-03-24    1.875 
 1985-03-25        0 
 1985-03-26        0 
 1985-03-27    2.625 
 1985-03-28   1.4375 
 1985-03-29        0 
 1985-03-30        0 
 1985-03-31        0 
 1985-04-01        0 
 1985-04-02        0 
 1985-04-03        0 
 1985-04-04        0 
 1985-04-05   0.1875 
 1985-04-06        0 
 1985-04-07        0 
 1985-04-08   0.0625 
 1985-04-09        0 
 1985-04-10   0.0625 
 1985-04-11  17.9375 
 1985-04-12   1.0625 
 1985-04-13    0.125 
 1985-04-14        0 
 1985-04-15        0 
 1985-04-16        0 
 1985-04-17        0 
 1985-04-18        0 
 1985-04-19      1.5 
 1985-04-20   1.8125 
 1985-04-21        0 
 1985-04-22        0 
 1985-04-23        0 
 1985-04-24    0.875 
 1985-04-25    0.375 
 1985-04-26        0 
 1985-04-27        0 
 1985-04-28        0 
 1985-04-29        0 
 1985-04-30        0 
 1985-05-01    0.125 
 1985-05-02        0 
 1985-05-03       10 
 1985-05-04    11.25 
 1985-05-05   0.5625 
 1985-05-06        0 
 1985-05-07        0 
 1985-05-08        0 
 1985-05-09        0 
 1985-05-10        0 
 1985-05-11   4.0625 
 1985-05-12    12.75 
 1985-05-13   0.1875 
 1985-05-14   0.9375 
 1985-05-15    13.75 
 1985-05-16   1.6875 
 1985-05-17        0 
 1985-05-18      9.5 
 1985-05-19   0.1875 
 1985-05-20   3.6875 
 1985-05-21        0 
 1985-05-22        0 
 1985-05-23        0 
 1985-05-24       15 
