#      date    value 
 2006-01-01        0 
 2006-01-02        0 
 2006-01-03        0 
 2006-01-04   0.0625 
 2006-01-05   0.0625 
 2006-01-06  62.3125 
 2006-01-07    2.625 
 2006-01-08     0.25 
 2006-01-09   0.0625 
 2006-01-10  17.3125 
 2006-01-11  11.0625 
 2006-01-12    0.125 
 2006-01-13     0.25 
 2006-01-14    0.875 
 2006-01-15   0.4375 
 2006-01-16     11.5 
 2006-01-17   2.8125 
 2006-01-18        0 
 2006-01-19        0 
 2006-01-20        0 
 2006-01-21   0.0625 
 2006-01-22   0.3125 
 2006-01-23    0.125 
 2006-01-24        0 
 2006-01-25    0.375 
 2006-01-26    3.125 
 2006-01-27  18.0625 
 2006-01-28     49.5 
 2006-01-29   2.6875 
 2006-01-30   5.4375 
 2006-01-31    0.125 
 2006-02-01   0.0625 
 2006-02-02        0 
 2006-02-03    1.625 
 2006-02-04      0.5 
 2006-02-05   0.5625 
 2006-02-06        0 
 2006-02-07        0 
 2006-02-08        0 
 2006-02-09        0 
 2006-02-10   1.6875 
 2006-02-11   1.8125 
 2006-02-12   1.6875 
 2006-02-13        0 
 2006-02-14        0 
 2006-02-15        0 
 2006-02-16   0.3125 
 2006-02-17   0.0625 
 2006-02-18   0.0625 
 2006-02-19   4.9375 
 2006-02-20    1.375 
 2006-02-21   0.0625 
 2006-02-22  19.6875 
 2006-02-23        2 
 2006-02-24   0.3125 
 2006-02-25   1.0625 
 2006-02-26    7.125 
 2006-02-27        0 
 2006-02-28    1.625 
 2006-03-01     2.75 
 2006-03-02        0 
 2006-03-03        0 
 2006-03-04   8.8125 
 2006-03-05     1.75 
 2006-03-06        0 
 2006-03-07        0 
 2006-03-08        0 
 2006-03-09        0 
 2006-03-10        0 
 2006-03-11        0 
 2006-03-12        0 
 2006-03-13        0 
 2006-03-14        0 
 2006-03-15        0 
 2006-03-16        0 
 2006-03-17        0 
 2006-03-18    11.25 
 2006-03-19    1.625 
 2006-03-20   5.6875 
 2006-03-21   2.5625 
 2006-03-22        0 
 2006-03-23    0.125 
 2006-03-24   0.0625 
 2006-03-25   0.0625 
 2006-03-26        0 
 2006-03-27        0 
 2006-03-28        0 
 2006-03-29        0 
 2006-03-30        0 
 2006-03-31        0 
 2006-04-01        0 
 2006-04-02        0 
 2006-04-03        0 
 2006-04-04        0 
 2006-04-05        0 
 2006-04-06   0.0625 
 2006-04-07        0 
 2006-04-08        0 
 2006-04-09        0 
 2006-04-10     0.25 
 2006-04-11   0.0625 
 2006-04-12   0.0625 
 2006-04-13        0 
 2006-04-14   0.1875 
 2006-04-15      2.5 
 2006-04-16   0.0625 
 2006-04-17     2.25 
 2006-04-18        0 
 2006-04-19    0.125 
 2006-04-20        0 
 2006-04-21   0.9375 
 2006-04-22   30.875 
 2006-04-23    2.375 
 2006-04-24    0.125 
 2006-04-25        0 
 2006-04-26        0 
 2006-04-27        0 
 2006-04-28   9.6875 
 2006-04-29   0.0625 
 2006-04-30        0 
 2006-05-01        0 
 2006-05-02   9.8125 
 2006-05-03    16.25 
 2006-05-04    4.125 
 2006-05-05    0.875 
 2006-05-06     5.75 
 2006-05-07   0.0625 
 2006-05-08        0 
 2006-05-09   0.0625 
 2006-05-10   0.0625 
 2006-05-11   2.5625 
 2006-05-12        0 
 2006-05-13        0 
 2006-05-14        0 
 2006-05-15        0 
 2006-05-16   0.0625 
 2006-05-17        0 
 2006-05-18        0 
 2006-05-19   0.0625 
 2006-05-20   0.9375 
 2006-05-21        0 
 2006-05-22   0.0625 
 2006-05-23        0 
 2006-05-24        0 
 2006-05-25      0.5 
 2006-05-26   0.0625 
 2006-05-27        0 
 2006-05-28   0.0625 
 2006-05-29        0 
 2006-05-30      0.5 
 2006-05-31  29.9375 
 2006-06-01    3.875 
 2006-06-02        0 
 2006-06-03    0.375 
 2006-06-04        0 
 2006-06-05        0 
 2006-06-06        0 
 2006-06-07        0 
 2006-06-08        0 
 2006-06-09    9.875 
 2006-06-10   0.8125 
 2006-06-11        0 
 2006-06-12   0.0625 
 2006-06-13   1.3125 
 2006-06-14   0.0625 
 2006-06-15   0.1875 
 2006-06-16   0.5625 
 2006-06-17   0.4375 
 2006-06-18   0.0625 
 2006-06-19   0.0625 
 2006-06-20      0.5 
 2006-06-21        0 
 2006-06-22        0 
 2006-06-23        0 
 2006-06-24        0 
 2006-06-25        0 
 2006-06-26        0 
 2006-06-27        0 
 2006-06-28        0 
 2006-06-29        0 
 2006-06-30        0 
 2006-07-01        0 
 2006-07-02        0 
 2006-07-03        0 
 2006-07-04        0 
 2006-07-05        0 
 2006-07-06        0 
 2006-07-07        0 
 2006-07-08        0 
 2006-07-09        0 
 2006-07-10        0 
 2006-07-11        0 
 2006-07-12        0 
 2006-07-13        0 
 2006-07-14        0 
 2006-07-15   0.0625 
 2006-07-16        0 
 2006-07-17        0 
 2006-07-18    0.125 
 2006-07-19   0.8125 
 2006-07-20        0 
 2006-07-21        0 
 2006-07-22        0 
 2006-07-23        0 
 2006-07-24        0 
 2006-07-25        0 
 2006-07-26        0 
 2006-07-27        0 
 2006-07-28        0 
 2006-07-29        0 
 2006-07-30        0 
 2006-07-31        0 
 2006-08-01        0 
 2006-08-02        0 
 2006-08-03        0 
 2006-08-04        0 
 2006-08-05        0 
 2006-08-06        0 
 2006-08-07    0.125 
 2006-08-08    0.375 
 2006-08-09     0.25 
 2006-08-10        0 
 2006-08-11        0 
 2006-08-12        0 
 2006-08-13        0 
 2006-08-14        0 
 2006-08-15        0 
 2006-08-16        0 
 2006-08-17     4.25 
 2006-08-18        0 
 2006-08-19        0 
 2006-08-20        0 
 2006-08-21        0 
 2006-08-22        0 
 2006-08-23        0 
 2006-08-24        0 
 2006-08-25        0 
 2006-08-26        0 
 2006-08-27        0 
 2006-08-28        0 
 2006-08-29        0 
 2006-08-30        0 
 2006-08-31        0 
 2006-09-01        0 
 2006-09-02   0.0625 
 2006-09-03   0.0625 
 2006-09-04        0 
 2006-09-05        0 
 2006-09-06    0.125 
 2006-09-07   0.1875 
 2006-09-08   0.0625 
 2006-09-09   2.0625 
 2006-09-10   1.3125 
 2006-09-11   3.4375 
 2006-09-12     32.5 
 2006-09-13   0.1875 
 2006-09-14  10.1875 
 2006-09-15        0 
 2006-09-16        0 
 2006-09-17        0 
 2006-09-18        0 
 2006-09-19        0 
 2006-09-20        0 
