#      date    value 
 1988-01-01     0.25 
 1988-01-02   1.6875 
 1988-01-03   0.8125 
 1988-01-04        0 
 1988-01-05        0 
 1988-01-06        0 
 1988-01-07        0 
 1988-01-08        0 
 1988-01-09        0 
 1988-01-10        0 
 1988-01-11        0 
 1988-01-12        0 
 1988-01-13        0 
 1988-01-14        0 
 1988-01-15      0.5 
 1988-01-16   0.1875 
 1988-01-17        0 
 1988-01-18        0 
 1988-01-19        0 
 1988-01-20        0 
 1988-01-21      0.5 
 1988-01-22     1.75 
 1988-01-23    6.125 
 1988-01-24   3.5625 
 1988-01-25        0 
 1988-01-26   1.8125 
 1988-01-27        0 
 1988-01-28    0.875 
 1988-01-29   10.375 
 1988-01-30   0.8125 
 1988-01-31    0.125 
 1988-02-01        0 
 1988-02-02        0 
 1988-02-03        0 
 1988-02-04   0.1875 
 1988-02-05        0 
 1988-02-06   0.3125 
 1988-02-07        0 
 1988-02-08        0 
 1988-02-09        0 
 1988-02-10        0 
 1988-02-11    0.875 
 1988-02-12        0 
 1988-02-13    0.375 
 1988-02-14        0 
 1988-02-15      0.5 
 1988-02-16        0 
 1988-02-17   0.0625 
 1988-02-18        0 
 1988-02-19   2.4375 
 1988-02-20        2 
 1988-02-21   0.5625 
 1988-02-22   0.8125 
 1988-02-23        0 
 1988-02-24        0 
 1988-02-25        0 
 1988-02-26        0 
 1988-02-27        0 
 1988-02-28        0 
 1988-02-29   0.0625 
 1988-03-01     0.25 
 1988-03-02   0.0625 
 1988-03-03        0 
 1988-03-04        0 
 1988-03-05        0 
 1988-03-06   0.0625 
 1988-03-07    2.625 
 1988-03-08        0 
 1988-03-09    0.875 
 1988-03-10   12.125 
 1988-03-11   0.6875 
 1988-03-12    1.125 
 1988-03-13        0 
 1988-03-14        0 
 1988-03-15        0 
 1988-03-16    0.125 
 1988-03-17        0 
 1988-03-18   1.1875 
 1988-03-19     1.75 
 1988-03-20   0.1875 
 1988-03-21    0.375 
 1988-03-22        0 
 1988-03-23        0 
 1988-03-24   5.5625 
 1988-03-25     4.25 
 1988-03-26        0 
 1988-03-27    7.875 
 1988-03-28    23.25 
 1988-03-29   5.3125 
 1988-03-30        0 
 1988-03-31        0 
 1988-04-01   0.1875 
 1988-04-02        0 
 1988-04-03   0.6875 
 1988-04-04        0 
 1988-04-05        0 
 1988-04-06        0 
 1988-04-07   1.5625 
 1988-04-08    0.125 
 1988-04-09     0.25 
 1988-04-10        0 
 1988-04-11        0 
 1988-04-12        0 
 1988-04-13        0 
 1988-04-14        0 
 1988-04-15        0 
 1988-04-16   0.3125 
 1988-04-17   0.0625 
 1988-04-18        0 
 1988-04-19        0 
 1988-04-20        0 
 1988-04-21        0 
 1988-04-22        0 
 1988-04-23  16.6875 
 1988-04-24    3.125 
 1988-04-25        0 
 1988-04-26        0 
 1988-04-27        0 
 1988-04-28        0 
 1988-04-29    0.125 
 1988-04-30   0.0625 
 1988-05-01        0 
 1988-05-02        0 
 1988-05-03   0.3125 
 1988-05-04   0.5625 
 1988-05-05   0.0625 
 1988-05-06      0.5 
 1988-05-07    1.875 
 1988-05-08        0 
 1988-05-09   0.1875 
 1988-05-10        0 
 1988-05-11        0 
 1988-05-12   0.3125 
 1988-05-13        0 
 1988-05-14   4.9375 
 1988-05-15  12.9375 
 1988-05-16        0 
 1988-05-17        1 
 1988-05-18   0.3125 
 1988-05-19   0.6875 
 1988-05-20    0.125 
 1988-05-21   0.0625 
 1988-05-22        0 
 1988-05-23        0 
 1988-05-24        0 
 1988-05-25   2.3125 
 1988-05-26   0.0625 
 1988-05-27     1.25 
 1988-05-28   9.6875 
 1988-05-29   3.3125 
 1988-05-30   10.625 
 1988-05-31   1.6875 
 1988-06-01   0.0625 
 1988-06-02    0.875 
 1988-06-03        0 
 1988-06-04   0.4375 
 1988-06-05        0 
 1988-06-06        0 
 1988-06-07   0.0625 
 1988-06-08    0.125 
 1988-06-09    9.125 
 1988-06-10        0 
 1988-06-11   2.8125 
 1988-06-12        0 
 1988-06-13    1.625 
 1988-06-14    0.125 
 1988-06-15        0 
 1988-06-16    0.125 
 1988-06-17   0.9375 
 1988-06-18   4.0625 
 1988-06-19   0.1875 
 1988-06-20   0.4375 
 1988-06-21        0 
 1988-06-22    0.125 
 1988-06-23    6.375 
 1988-06-24  15.9375 
 1988-06-25        0 
 1988-06-26   0.1875 
 1988-06-27    0.875 
 1988-06-28   0.0625 
 1988-06-29    1.125 
 1988-06-30   1.1875 
 1988-07-01        0 
 1988-07-02      0.5 
 1988-07-03   2.8125 
 1988-07-04   0.1875 
 1988-07-05   6.5625 
 1988-07-06       10 
 1988-07-07        0 
 1988-07-08    2.625 
 1988-07-09        0 
 1988-07-10        0 
 1988-07-11        0 
 1988-07-12   3.4375 
 1988-07-13   14.625 
 1988-07-14     1.75 
 1988-07-15  17.6875 
 1988-07-16   0.1875 
 1988-07-17    0.625 
 1988-07-18     4.25 
 1988-07-19   4.1875 
 1988-07-20        0 
 1988-07-21        0 
 1988-07-22    0.125 
 1988-07-23   2.3125 
 1988-07-24        0 
 1988-07-25    0.375 
 1988-07-26   0.0625 
 1988-07-27   1.1875 
 1988-07-28        0 
 1988-07-29        0 
 1988-07-30    2.625 
 1988-07-31        0 
 1988-08-01    0.125 
 1988-08-02  15.6875 
 1988-08-03  11.9375 
 1988-08-04   0.0625 
 1988-08-05   0.5625 
 1988-08-06  10.3125 
 1988-08-07  11.4375 
 1988-08-08        0 
 1988-08-09   0.1875 
 1988-08-10        0 
 1988-08-11    0.125 
 1988-08-12        3 
 1988-08-13        0 
 1988-08-14   0.4375 
 1988-08-15   0.0625 
 1988-08-16    0.375 
 1988-08-17        0 
 1988-08-18        0 
 1988-08-19   8.9375 
 1988-08-20        6 
 1988-08-21   38.375 
 1988-08-22  17.0625 
 1988-08-23   0.0625 
 1988-08-24        0 
 1988-08-25        0 
 1988-08-26   2.6875 
 1988-08-27        0 
 1988-08-28        0 
 1988-08-29        0 
 1988-08-30        0 
 1988-08-31   0.0625 
 1988-09-01        0 
 1988-09-02        0 
 1988-09-03        0 
 1988-09-04        0 
 1988-09-05        0 
 1988-09-06   0.0625 
 1988-09-07   7.6875 
 1988-09-08   0.1875 
 1988-09-09   0.1875 
 1988-09-10        0 
 1988-09-11        0 
 1988-09-12        0 
 1988-09-13        0 
 1988-09-14        0 
 1988-09-15   0.0625 
 1988-09-16   2.1875 
 1988-09-17    3.875 
 1988-09-18   0.1875 
 1988-09-19   0.4375 
 1988-09-20   0.5625 
 1988-09-21   1.6875 
 1988-09-22   2.1875 
 1988-09-23   0.1875 
 1988-09-24        0 
 1988-09-25   0.1875 
 1988-09-26    5.125 
 1988-09-27   0.1875 
 1988-09-28     9.25 
 1988-09-29        0 
 1988-09-30   1.0625 
 1988-10-01        0 
 1988-10-02   0.1875 
 1988-10-03        0 
 1988-10-04        0 
 1988-10-05        0 
 1988-10-06        0 
 1988-10-07        0 
 1988-10-08        0 
 1988-10-09    0.125 
 1988-10-10        0 
 1988-10-11        0 
 1988-10-12        0 
 1988-10-13        0 
 1988-10-14   0.0625 
 1988-10-15   1.9375 
 1988-10-16        0 
 1988-10-17   2.0625 
 1988-10-18   0.1875 
 1988-10-19        0 
 1988-10-20   1.0625 
 1988-10-21     0.25 
 1988-10-22        1 
 1988-10-23        0 
 1988-10-24        0 
 1988-10-25        0 
 1988-10-26     6.75 
 1988-10-27    8.125 
 1988-10-28        0 
 1988-10-29        0 
 1988-10-30    0.125 
 1988-10-31   0.1875 
 1988-11-01        0 
 1988-11-02     0.25 
 1988-11-03        0 
 1988-11-04        0 
 1988-11-05        0 
 1988-11-06   7.3125 
 1988-11-07   2.6875 
 1988-11-08   0.1875 
 1988-11-09    0.375 
 1988-11-10        0 
 1988-11-11        1 
 1988-11-12   1.0625 
 1988-11-13   0.0625 
 1988-11-14    0.125 
 1988-11-15        0 
 1988-11-16        0 
 1988-11-17        0 
 1988-11-18   0.1875 
 1988-11-19   0.0625 
 1988-11-20        0 
 1988-11-21        0 
 1988-11-22   0.0625 
 1988-11-23    0.625 
 1988-11-24     0.25 
 1988-11-25        0 
 1988-11-26   0.0625 
 1988-11-27        0 
 1988-11-28   0.0625 
 1988-11-29   0.0625 
 1988-11-30        0 
 1988-12-01        0 
 1988-12-02        0 
 1988-12-03   0.1875 
 1988-12-04        0 
 1988-12-05   0.4375 
 1988-12-06      0.5 
 1988-12-07    2.125 
 1988-12-08        0 
 1988-12-09        0 
 1988-12-10        0 
 1988-12-11        0 
 1988-12-12    0.625 
 1988-12-13     1.75 
 1988-12-14    3.875 
 1988-12-15      0.5 
 1988-12-16        0 
 1988-12-17        0 
 1988-12-18   1.6875 
 1988-12-19     1.75 
 1988-12-20   0.1875 
 1988-12-21        0 
 1988-12-22        0 
 1988-12-23   0.0625 
 1988-12-24        0 
 1988-12-25        0 
 1988-12-26        0 
 1988-12-27        0 
 1988-12-28        0 
 1988-12-29   0.6875 
 1988-12-30   0.1875 
 1988-12-31    0.875 
