#      date    value 
 1992-01-01        0 
 1992-01-02        0 
 1992-01-03        0 
 1992-01-04   3.4375 
 1992-01-05   1.0625 
 1992-01-06        0 
 1992-01-07        0 
 1992-01-08   8.1875 
 1992-01-09    3.625 
 1992-01-10        0 
 1992-01-11        0 
 1992-01-12   0.0625 
 1992-01-13    0.125 
 1992-01-14        0 
 1992-01-15        0 
 1992-01-16        0 
 1992-01-17        0 
 1992-01-18        0 
 1992-01-19   0.3125 
 1992-01-20        0 
 1992-01-21        0 
 1992-01-22        0 
 1992-01-23        0 
 1992-01-24        0 
 1992-01-25   3.1875 
 1992-01-26        0 
 1992-01-27        0 
 1992-01-28   0.0625 
 1992-01-29        0 
 1992-01-30        0 
 1992-01-31        0 
 1992-02-01   0.1875 
 1992-02-02        0 
 1992-02-03     0.25 
 1992-02-04   0.0625 
 1992-02-05        0 
 1992-02-06        0 
 1992-02-07        0 
 1992-02-08   0.0625 
 1992-02-09    1.875 
 1992-02-10    2.875 
 1992-02-11        8 
 1992-02-12   6.5625 
 1992-02-13   0.1875 
 1992-02-14    3.375 
 1992-02-15      1.5 
 1992-02-16        1 
 1992-02-17        0 
 1992-02-18   2.8125 
 1992-02-19        0 
 1992-02-20        0 
 1992-02-21        0 
 1992-02-22        0 
 1992-02-23        0 
 1992-02-24        0 
 1992-02-25        0 
 1992-02-26        0 
 1992-02-27        0 
 1992-02-28    2.125 
 1992-02-29        0 
 1992-03-01    6.125 
 1992-03-02   0.0625 
 1992-03-03    0.125 
 1992-03-04        0 
 1992-03-05   0.9375 
 1992-03-06        0 
 1992-03-07   0.1875 
 1992-03-08    0.125 
 1992-03-09        0 
 1992-03-10   3.9375 
 1992-03-11        0 
 1992-03-12     1.75 
 1992-03-13   0.8125 
 1992-03-14     0.25 
 1992-03-15      1.5 
 1992-03-16   0.1875 
 1992-03-17        0 
 1992-03-18   0.3125 
 1992-03-19        0 
 1992-03-20   0.0625 
 1992-03-21   1.6875 
 1992-03-22    3.375 
 1992-03-23    4.125 
 1992-03-24   0.9375 
 1992-03-25   5.3125 
 1992-03-26    2.875 
 1992-03-27   0.0625 
 1992-03-28    1.375 
 1992-03-29    6.375 
 1992-03-30   7.9375 
 1992-03-31   0.9375 
 1992-04-01    0.125 
 1992-04-02    0.125 
 1992-04-03        0 
 1992-04-04        0 
 1992-04-05        0 
 1992-04-06   5.4375 
 1992-04-07    5.375 
 1992-04-08        0 
 1992-04-09        0 
 1992-04-10        0 
 1992-04-11        0 
 1992-04-12     0.25 
 1992-04-13   0.0625 
 1992-04-14     12.5 
 1992-04-15   10.375 
 1992-04-16        0 
 1992-04-17   5.5625 
 1992-04-18        0 
 1992-04-19        0 
 1992-04-20        0 
 1992-04-21        0 
 1992-04-22        0 
 1992-04-23     0.75 
 1992-04-24   6.3125 
 1992-04-25     0.25 
 1992-04-26    4.875 
 1992-04-27    5.625 
 1992-04-28     14.5 
 1992-04-29        0 
 1992-04-30   1.1875 
 1992-05-01    9.875 
 1992-05-02     1.25 
 1992-05-03        0 
 1992-05-04        0 
 1992-05-05   0.0625 
 1992-05-06        0 
 1992-05-07        0 
 1992-05-08        0 
 1992-05-09   9.4375 
 1992-05-10    1.625 
 1992-05-11   0.3125 
 1992-05-12        0 
 1992-05-13        0 
 1992-05-14        0 
 1992-05-15   0.0625 
 1992-05-16        0 
 1992-05-17        0 
 1992-05-18        0 
 1992-05-19        0 
 1992-05-20        0 
 1992-05-21        0 
 1992-05-22        0 
 1992-05-23   0.0625 
 1992-05-24        0 
 1992-05-25        0 
 1992-05-26        0 
 1992-05-27        0 
 1992-05-28      0.5 
 1992-05-29       10 
 1992-05-30     1.25 
 1992-05-31        0 
 1992-06-01  12.1875 
 1992-06-02   0.0625 
 1992-06-03        0 
 1992-06-04     2.25 
 1992-06-05    2.875 
 1992-06-06        1 
 1992-06-07    2.375 
 1992-06-08        0 
 1992-06-09        0 
 1992-06-10    0.875 
 1992-06-11        0 
 1992-06-12        0 
 1992-06-13        0 
 1992-06-14        0 
 1992-06-15        0 
 1992-06-16    0.125 
 1992-06-17        0 
 1992-06-18        0 
 1992-06-19   7.0625 
 1992-06-20   0.0625 
 1992-06-21        0 
 1992-06-22        0 
 1992-06-23        0 
 1992-06-24        0 
 1992-06-25        0 
 1992-06-26        0 
 1992-06-27        0 
 1992-06-28        0 
 1992-06-29        0 
 1992-06-30   4.1875 
 1992-07-01     9.75 
 1992-07-02   0.0625 
 1992-07-03  12.6875 
 1992-07-04        6 
 1992-07-05   2.1875 
 1992-07-06        0 
 1992-07-07        0 
 1992-07-08     0.75 
 1992-07-09    1.125 
 1992-07-10     0.75 
 1992-07-11        2 
 1992-07-12   1.1875 
 1992-07-13   1.0625 
 1992-07-14        1 
 1992-07-15    0.125 
 1992-07-16        0 
 1992-07-17   1.5625 
 1992-07-18   0.3125 
 1992-07-19    0.125 
 1992-07-20  21.0625 
 1992-07-21   4.4375 
 1992-07-22        0 
 1992-07-23   0.0625 
 1992-07-24        0 
 1992-07-25        0 
 1992-07-26        0 
 1992-07-27    0.125 
 1992-07-28        0 
 1992-07-29        0 
 1992-07-30   0.0625 
 1992-07-31        0 
 1992-08-01        0 
 1992-08-02        0 
 1992-08-03     0.25 
 1992-08-04        0 
 1992-08-05        0 
 1992-08-06        0 
 1992-08-07    0.375 
 1992-08-08    2.625 
 1992-08-09    19.25 
 1992-08-10   8.9375 
 1992-08-11    0.375 
 1992-08-12    10.25 
 1992-08-13   18.875 
 1992-08-14   0.0625 
 1992-08-15   0.0625 
 1992-08-16     4.75 
 1992-08-17     0.25 
 1992-08-18   0.4375 
 1992-08-19        0 
 1992-08-20     5.75 
 1992-08-21   0.3125 
 1992-08-22   2.0625 
 1992-08-23   4.9375 
 1992-08-24   4.1875 
 1992-08-25        8 
 1992-08-26   1.3125 
 1992-08-27        4 
 1992-08-28   0.3125 
 1992-08-29   1.1875 
 1992-08-30  15.6875 
 1992-08-31    0.125 
 1992-09-01   1.4375 
 1992-09-02    5.125 
 1992-09-03    4.375 
 1992-09-04    0.875 
 1992-09-05        0 
 1992-09-06   2.4375 
 1992-09-07   2.5625 
 1992-09-08        0 
 1992-09-09        0 
 1992-09-10        0 
 1992-09-11   3.0625 
 1992-09-12        0 
 1992-09-13   3.5625 
 1992-09-14     0.25 
 1992-09-15        0 
 1992-09-16        0 
 1992-09-17     1.25 
 1992-09-18    3.375 
 1992-09-19   0.1875 
 1992-09-20        0 
 1992-09-21    1.375 
 1992-09-22  13.9375 
 1992-09-23     23.5 
 1992-09-24   8.8125 
 1992-09-25   9.1875 
 1992-09-26        0 
 1992-09-27        0 
 1992-09-28        0 
 1992-09-29   1.6875 
 1992-09-30     1.75 
 1992-10-01   0.0625 
 1992-10-02   5.0625 
 1992-10-03    6.125 
 1992-10-04        0 
 1992-10-05        0 
 1992-10-06        0 
 1992-10-07   0.0625 
 1992-10-08        0 
 1992-10-09   0.1875 
 1992-10-10   0.1875 
 1992-10-11   0.5625 
 1992-10-12        0 
 1992-10-13        0 
 1992-10-14    2.125 
 1992-10-15   0.0625 
