#      date    value 
 1990-01-01        0 
 1990-01-02        0 
 1990-01-03        0 
 1990-01-04   0.1875 
 1990-01-05        0 
 1990-01-06        0 
 1990-01-07        0 
 1990-01-08        0 
 1990-01-09   0.0625 
 1990-01-10        0 
 1990-01-11        0 
 1990-01-12        0 
 1990-01-13        0 
 1990-01-14        0 
 1990-01-15        0 
 1990-01-16        0 
 1990-01-17        0 
 1990-01-18        0 
 1990-01-19     0.75 
 1990-01-20   12.375 
 1990-01-21   0.0625 
 1990-01-22        0 
 1990-01-23        0 
 1990-01-24   0.1875 
 1990-01-25        0 
 1990-01-26        0 
 1990-01-27        0 
 1990-01-28        0 
 1990-01-29        0 
 1990-01-30        0 
 1990-01-31        0 
 1990-02-01        0 
 1990-02-02   1.5625 
 1990-02-03   0.8125 
 1990-02-04        0 
 1990-02-05        0 
 1990-02-06        0 
 1990-02-07        0 
 1990-02-08        0 
 1990-02-09        0 
 1990-02-10        0 
 1990-02-11        0 
 1990-02-12        0 
 1990-02-13        0 
 1990-02-14   1.6875 
 1990-02-15   2.3125 
 1990-02-16    0.125 
 1990-02-17        0 
 1990-02-18        0 
 1990-02-19        0 
 1990-02-20        0 
 1990-02-21        0 
 1990-02-22        0 
 1990-02-23        0 
 1990-02-24        0 
 1990-02-25        0 
 1990-02-26        0 
 1990-02-27        0 
 1990-02-28        0 
 1990-03-01        0 
 1990-03-02        0 
 1990-03-03        0 
 1990-03-04        0 
 1990-03-05        0 
 1990-03-06    2.625 
 1990-03-07  16.5625 
 1990-03-08     6.25 
 1990-03-09        0 
 1990-03-10   0.9375 
 1990-03-11   2.1875 
 1990-03-12    0.125 
 1990-03-13   19.625 
 1990-03-14    3.375 
 1990-03-15   0.1875 
 1990-03-16   0.0625 
 1990-03-17        0 
 1990-03-18        0 
 1990-03-19        0 
 1990-03-20        0 
 1990-03-21        0 
 1990-03-22     0.75 
 1990-03-23    3.375 
 1990-03-24   1.6875 
 1990-03-25        0 
 1990-03-26        0 
 1990-03-27        0 
 1990-03-28    3.875 
 1990-03-29  10.6875 
 1990-03-30   2.0625 
 1990-03-31    3.875 
 1990-04-01        0 
 1990-04-02        0 
 1990-04-03        0 
 1990-04-04        0 
 1990-04-05        0 
 1990-04-06        0 
 1990-04-07        0 
 1990-04-08        0 
 1990-04-09   1.0625 
 1990-04-10     0.25 
 1990-04-11        0 
 1990-04-12   0.6875 
 1990-04-13   4.1875 
 1990-04-14        0 
 1990-04-15    1.375 
 1990-04-16     3.25 
 1990-04-17        0 
 1990-04-18        0 
 1990-04-19        0 
 1990-04-20     0.25 
 1990-04-21        0 
 1990-04-22        0 
 1990-04-23        0 
 1990-04-24   0.0625 
 1990-04-25     0.25 
 1990-04-26        0 
 1990-04-27   0.4375 
 1990-04-28        0 
 1990-04-29   0.1875 
 1990-04-30        0 
 1990-05-01        0 
 1990-05-02   0.0625 
 1990-05-03   9.5625 
 1990-05-04  11.0625 
 1990-05-05    0.125 
 1990-05-06        0 
 1990-05-07        0 
 1990-05-08   0.1875 
 1990-05-09     35.5 
 1990-05-10        0 
 1990-05-11   4.5625 
 1990-05-12   13.625 
 1990-05-13        0 
 1990-05-14    0.125 
 1990-05-15    4.875 
 1990-05-16        0 
 1990-05-17        0 
 1990-05-18        0 
 1990-05-19    8.875 
 1990-05-20        0 
 1990-05-21   0.1875 
 1990-05-22        0 
 1990-05-23   3.4375 
 1990-05-24  11.0625 
 1990-05-25   14.375 
 1990-05-26        0 
 1990-05-27     0.25 
 1990-05-28        0 
 1990-05-29        0 
 1990-05-30   2.5625 
 1990-05-31        0 
 1990-06-01   0.6875 
 1990-06-02     2.25 
 1990-06-03        0 
 1990-06-04        0 
 1990-06-05   0.1875 
 1990-06-06        0 
 1990-06-07  20.0625 
 1990-06-08  12.0625 
 1990-06-09        0 
 1990-06-10   0.5625 
 1990-06-11        0 
 1990-06-12        0 
 1990-06-13   1.0625 
 1990-06-14        2 
 1990-06-15  12.5625 
 1990-06-16    8.625 
 1990-06-17   2.9375 
 1990-06-18        0 
 1990-06-19  18.9375 
 1990-06-20    0.125 
 1990-06-21  25.0625 
 1990-06-22   1.5625 
 1990-06-23        0 
 1990-06-24        0 
 1990-06-25        0 
 1990-06-26    1.375 
 1990-06-27        0 
 1990-06-28        0 
 1990-06-29        0 
 1990-06-30        0 
 1990-07-01        0 
 1990-07-02        0 
 1990-07-03        0 
 1990-07-04   0.0625 
 1990-07-05   1.8125 
 1990-07-06   14.125 
 1990-07-07        0 
 1990-07-08   0.1875 
 1990-07-09   0.4375 
 1990-07-10     7.25 
 1990-07-11   3.1875 
 1990-07-12        2 
 1990-07-13        0 
 1990-07-14        0 
 1990-07-15        0 
 1990-07-16        0 
 1990-07-17        0 
 1990-07-18        0 
 1990-07-19  14.1875 
 1990-07-20    4.875 
 1990-07-21   0.4375 
 1990-07-22    0.125 
 1990-07-23   3.5625 
 1990-07-24     0.75 
 1990-07-25   25.875 
 1990-07-26  100.875 
 1990-07-27    0.125 
 1990-07-28   0.1875 
 1990-07-29   0.4375 
 1990-07-30        0 
 1990-07-31        0 
 1990-08-01        0 
 1990-08-02     1.75 
 1990-08-03   3.4375 
 1990-08-04    0.125 
 1990-08-05        0 
 1990-08-06        0 
 1990-08-07        0 
 1990-08-08        0 
 1990-08-09        0 
 1990-08-10   0.0625 
 1990-08-11   1.9375 
 1990-08-12       15 
 1990-08-13        0 
 1990-08-14    0.125 
 1990-08-15   3.0625 
 1990-08-16   5.1875 
 1990-08-17     0.25 
 1990-08-18   0.5625 
 1990-08-19   0.8125 
 1990-08-20        0 
 1990-08-21        0 
 1990-08-22        0 
 1990-08-23   0.8125 
 1990-08-24    1.625 
 1990-08-25   0.5625 
 1990-08-26        0 
 1990-08-27        0 
 1990-08-28        0 
 1990-08-29        0 
 1990-08-30        0 
 1990-08-31        0 
 1990-09-01        0 
 1990-09-02        1 
 1990-09-03        0 
 1990-09-04        0 
 1990-09-05        0 
 1990-09-06        0 
 1990-09-07   0.5625 
 1990-09-08        0 
 1990-09-09        0 
 1990-09-10    0.125 
 1990-09-11        0 
 1990-09-12        0 
 1990-09-13        0 
 1990-09-14        0 
 1990-09-15        0 
 1990-09-16        0 
 1990-09-17    1.625 
 1990-09-18  12.1875 
 1990-09-19        0 
 1990-09-20      0.5 
 1990-09-21    0.375 
 1990-09-22        0 
 1990-09-23        0 
 1990-09-24        0 
 1990-09-25        0 
 1990-09-26        0 
 1990-09-27   1.4375 
 1990-09-28        0 
 1990-09-29   0.0625 
 1990-09-30        0 
 1990-10-01        0 
 1990-10-02     2.25 
 1990-10-03  27.0625 
 1990-10-04        0 
 1990-10-05        0 
 1990-10-06        0 
 1990-10-07        0 
 1990-10-08   5.0625 
 1990-10-09   0.1875 
 1990-10-10        0 
 1990-10-11        0 
 1990-10-12        0 
 1990-10-13        0 
 1990-10-14        0 
 1990-10-15        0 
 1990-10-16        0 
 1990-10-17        0 
 1990-10-18   0.0625 
 1990-10-19        0 
 1990-10-20   1.1875 
 1990-10-21        4 
 1990-10-22        0 
 1990-10-23     0.25 
 1990-10-24   0.0625 
 1990-10-25        0 
 1990-10-26        0 
 1990-10-27        0 
 1990-10-28        0 
 1990-10-29        0 
 1990-10-30        0 
 1990-10-31        0 
 1990-11-01        0 
 1990-11-02   0.1875 
 1990-11-03   13.125 
 1990-11-04        3 
 1990-11-05        0 
 1990-11-06   7.3125 
 1990-11-07   0.5625 
 1990-11-08        0 
 1990-11-09        0 
 1990-11-10        0 
 1990-11-11        0 
 1990-11-12        0 
 1990-11-13        0 
 1990-11-14        0 
 1990-11-15        0 
 1990-11-16        0 
 1990-11-17        0 
 1990-11-18        0 
 1990-11-19        0 
 1990-11-20        0 
 1990-11-21   0.3125 
 1990-11-22        0 
 1990-11-23        0 
 1990-11-24        0 
 1990-11-25        0 
 1990-11-26   2.6875 
 1990-11-27     0.75 
 1990-11-28        0 
 1990-11-29        0 
 1990-11-30        0 
 1990-12-01        0 
 1990-12-02   2.8125 
 1990-12-03      9.5 
 1990-12-04        0 
 1990-12-05        0 
 1990-12-06        0 
 1990-12-07        0 
 1990-12-08        0 
 1990-12-09        0 
 1990-12-10        0 
 1990-12-11        0 
 1990-12-12        0 
 1990-12-13        0 
 1990-12-14        0 
 1990-12-15   0.0625 
 1990-12-16   2.3125 
 1990-12-17   7.4375 
 1990-12-18        0 
 1990-12-19        0 
 1990-12-20   1.3125 
 1990-12-21   0.0625 
 1990-12-22        0 
 1990-12-23        0 
 1990-12-24        0 
 1990-12-25        0 
 1990-12-26        0 
 1990-12-27        0 
 1990-12-28        0 
 1990-12-29   0.1875 
 1990-12-30        3 
 1990-12-31        0 
