#      date    value 
 1992-01-01   2.8125 
 1992-01-02        0 
 1992-01-03        0 
 1992-01-04        0 
 1992-01-05   0.5625 
 1992-01-06        0 
 1992-01-07   2.1875 
 1992-01-08        0 
 1992-01-09        0 
 1992-01-10        0 
 1992-01-11        0 
 1992-01-12    0.125 
 1992-01-13   0.0625 
 1992-01-14        0 
 1992-01-15        0 
 1992-01-16        0 
 1992-01-17        0 
 1992-01-18        0 
 1992-01-19        0 
 1992-01-20        0 
 1992-01-21        0 
 1992-01-22    4.375 
 1992-01-23        0 
 1992-01-24        0 
 1992-01-25        0 
 1992-01-26        0 
 1992-01-27        3 
 1992-01-28        0 
 1992-01-29        0 
 1992-01-30        0 
 1992-01-31        0 
 1992-02-01   0.0625 
 1992-02-02        0 
 1992-02-03        0 
 1992-02-04        0 
 1992-02-05        0 
 1992-02-06        0 
 1992-02-07        0 
 1992-02-08        0 
 1992-02-09        0 
 1992-02-10    0.875 
 1992-02-11    2.125 
 1992-02-12   1.6875 
 1992-02-13        0 
 1992-02-14     4.25 
 1992-02-15        0 
 1992-02-16        0 
 1992-02-17   0.6875 
 1992-02-18        0 
 1992-02-19        0 
 1992-02-20        0 
 1992-02-21        0 
 1992-02-22        0 
 1992-02-23        0 
 1992-02-24   0.5625 
 1992-02-25        0 
 1992-02-26        0 
 1992-02-27        0 
 1992-02-28        0 
 1992-02-29        0 
 1992-03-01        0 
 1992-03-02        0 
 1992-03-03   0.3125 
 1992-03-04  24.0625 
 1992-03-05   0.0625 
 1992-03-06        0 
 1992-03-07        0 
 1992-03-08        0 
 1992-03-09   0.0625 
 1992-03-10        0 
 1992-03-11        0 
 1992-03-12        0 
 1992-03-13        0 
 1992-03-14        0 
 1992-03-15        0 
 1992-03-16        0 
 1992-03-17   0.3125 
 1992-03-18   11.875 
 1992-03-19        0 
 1992-03-20        0 
 1992-03-21        0 
 1992-03-22   0.5625 
 1992-03-23        0 
 1992-03-24   2.5625 
 1992-03-25   0.1875 
 1992-03-26        0 
 1992-03-27   0.1875 
 1992-03-28        3 
 1992-03-29        3 
 1992-03-30        0 
 1992-03-31   2.8125 
 1992-04-01   7.3125 
 1992-04-02    0.125 
 1992-04-03        0 
 1992-04-04        0 
 1992-04-05   0.0625 
 1992-04-06   0.1875 
 1992-04-07        0 
 1992-04-08        0 
 1992-04-09        0 
 1992-04-10        2 
 1992-04-11   0.0625 
 1992-04-12    4.625 
 1992-04-13        5 
 1992-04-14        0 
 1992-04-15    0.875 
 1992-04-16      5.5 
 1992-04-17   3.0625 
 1992-04-18        3 
 1992-04-19   18.375 
 1992-04-20        0 
 1992-04-21        0 
 1992-04-22        0 
 1992-04-23        0 
 1992-04-24        0 
 1992-04-25        0 
 1992-04-26        0 
 1992-04-27        0 
 1992-04-28  31.5625 
 1992-04-29        0 
 1992-04-30        0 
 1992-05-01        0 
 1992-05-02        0 
 1992-05-03        0 
 1992-05-04        0 
 1992-05-05        0 
 1992-05-06        0 
 1992-05-07        0 
 1992-05-08        0 
 1992-05-09        0 
 1992-05-10   1.5625 
 1992-05-11  30.9375 
 1992-05-12        0 
 1992-05-13        0 
 1992-05-14    5.625 
 1992-05-15     0.25 
 1992-05-16   0.8125 
 1992-05-17  26.3125 
 1992-05-18        0 
 1992-05-19     0.75 
 1992-05-20   5.1875 
 1992-05-21    0.375 
 1992-05-22      0.5 
 1992-05-23   0.4375 
 1992-05-24        0 
 1992-05-25   2.9375 
 1992-05-26        4 
 1992-05-27   1.3125 
 1992-05-28    14.25 
 1992-05-29    0.125 
 1992-05-30        0 
 1992-05-31     4.25 
 1992-06-01    7.125 
 1992-06-02   11.125 
 1992-06-03   2.4375 
 1992-06-04        0 
 1992-06-05    0.375 
 1992-06-06    24.75 
 1992-06-07        0 
 1992-06-08   0.1875 
 1992-06-09  12.1875 
 1992-06-10  10.0625 
 1992-06-11   0.3125 
 1992-06-12   0.0625 
 1992-06-13        0 
 1992-06-14  40.9375 
 1992-06-15        0 
 1992-06-16        0 
 1992-06-17        0 
 1992-06-18        0 
 1992-06-19  19.5625 
 1992-06-20   18.375 
 1992-06-21    0.125 
 1992-06-22        0 
 1992-06-23        0 
 1992-06-24        0 
 1992-06-25   33.625 
 1992-06-26        0 
 1992-06-27        0 
 1992-06-28  42.4375 
 1992-06-29     2.25 
 1992-06-30        0 
 1992-07-01        0 
 1992-07-02        0 
 1992-07-03        0 
 1992-07-04        0 
 1992-07-05        0 
 1992-07-06        0 
 1992-07-07        0 
 1992-07-08        0 
 1992-07-09        0 
 1992-07-10   0.1875 
 1992-07-11   6.9375 
 1992-07-12        0 
 1992-07-13    2.875 
 1992-07-14   27.625 
 1992-07-15        0 
 1992-07-16  28.4375 
 1992-07-17        0 
 1992-07-18        0 
 1992-07-19        0 
 1992-07-20   0.1875 
 1992-07-21     1.75 
 1992-07-22        0 
 1992-07-23   0.0625 
 1992-07-24        0 
 1992-07-25        0 
 1992-07-26      0.5 
 1992-07-27    0.375 
 1992-07-28        0 
 1992-07-29        0 
 1992-07-30        0 
 1992-07-31        0 
 1992-08-01    9.625 
 1992-08-02       26 
 1992-08-03   53.375 
 1992-08-04  79.5625 
 1992-08-05  22.3125 
 1992-08-06   0.4375 
 1992-08-07    0.375 
 1992-08-08    13.25 
 1992-08-09   2.4375 
 1992-08-10     4.75 
 1992-08-11   16.125 
 1992-08-12        0 
 1992-08-13        0 
 1992-08-14        0 
 1992-08-15        0 
 1992-08-16        0 
 1992-08-17        0 
 1992-08-18   0.1875 
 1992-08-19        0 
 1992-08-20        0 
 1992-08-21        0 
 1992-08-22        0 
 1992-08-23        0 
 1992-08-24        0 
 1992-08-25  13.9375 
 1992-08-26  20.8125 
 1992-08-27        0 
 1992-08-28        0 
 1992-08-29        0 
 1992-08-30   2.3125 
 1992-08-31    0.875 
 1992-09-01   0.8125 
 1992-09-02  17.5625 
 1992-09-03     0.25 
 1992-09-04        0 
 1992-09-05    0.125 
 1992-09-06     11.5 
