#      date    value 
 1994-01-01        0 
 1994-01-02        0 
 1994-01-03        0 
 1994-01-04        0 
 1994-01-05        0 
 1994-01-06        0 
 1994-01-07        0 
 1994-01-08        0 
 1994-01-09    5.875 
 1994-01-10   0.1875 
 1994-01-11        0 
 1994-01-12        0 
 1994-01-13        0 
 1994-01-14        0 
 1994-01-15        0 
 1994-01-16        0 
 1994-01-17        0 
 1994-01-18        0 
 1994-01-19        0 
 1994-01-20        0 
 1994-01-21        0 
 1994-01-22   2.0625 
 1994-01-23    1.625 
 1994-01-24        0 
 1994-01-25        0 
 1994-01-26   8.8125 
 1994-01-27   2.0625 
 1994-01-28        0 
 1994-01-29        0 
 1994-01-30        0 
 1994-01-31        0 
 1994-02-01        0 
 1994-02-02        0 
 1994-02-03        0 
 1994-02-04        0 
 1994-02-05        0 
 1994-02-06        0 
 1994-02-07        0 
 1994-02-08        0 
 1994-02-09        0 
 1994-02-10        0 
 1994-02-11        0 
 1994-02-12        0 
 1994-02-13        0 
 1994-02-14        0 
 1994-02-15   0.5625 
 1994-02-16   1.9375 
 1994-02-17        0 
 1994-02-18   5.4375 
 1994-02-19   5.0625 
 1994-02-20     5.25 
 1994-02-21      0.5 
 1994-02-22        0 
 1994-02-23        0 
 1994-02-24        0 
 1994-02-25        0 
 1994-02-26        0 
 1994-02-27        0 
 1994-02-28     0.25 
 1994-03-01        0 
 1994-03-02   0.0625 
 1994-03-03    1.125 
 1994-03-04   1.4375 
 1994-03-05        0 
 1994-03-06   6.0625 
 1994-03-07  10.0625 
 1994-03-08        0 
 1994-03-09        0 
 1994-03-10        0 
 1994-03-11        0 
 1994-03-12    0.875 
 1994-03-13    2.125 
 1994-03-14    0.125 
 1994-03-15        0 
 1994-03-16        0 
 1994-03-17   4.0625 
 1994-03-18    4.375 
 1994-03-19     3.25 
 1994-03-20     26.5 
 1994-03-21    1.375 
 1994-03-22   0.3125 
 1994-03-23        0 
 1994-03-24        0 
 1994-03-25        0 
 1994-03-26        0 
 1994-03-27        0 
 1994-03-28        0 
 1994-03-29        0 
 1994-03-30        0 
 1994-03-31        0 
 1994-04-01        0 
 1994-04-02        0 
 1994-04-03        0 
 1994-04-04        0 
 1994-04-05        0 
 1994-04-06        0 
 1994-04-07        0 
 1994-04-08        0 
 1994-04-09        0 
 1994-04-10        0 
 1994-04-11    0.125 
 1994-04-12        0 
 1994-04-13        0 
 1994-04-14        0 
 1994-04-15        0 
 1994-04-16        0 
 1994-04-17   0.1875 
 1994-04-18   0.3125 
 1994-04-19    0.375 
 1994-04-20        0 
 1994-04-21        0 
 1994-04-22        0 
 1994-04-23   1.1875 
 1994-04-24        0 
 1994-04-25        0 
 1994-04-26        0 
 1994-04-27        0 
 1994-04-28        0 
 1994-04-29        0 
 1994-04-30        0 
 1994-05-01        0 
 1994-05-02    5.625 
 1994-05-03     0.75 
 1994-05-04        0 
 1994-05-05        0 
 1994-05-06        0 
 1994-05-07   0.5625 
 1994-05-08   4.9375 
 1994-05-09        0 
 1994-05-10   5.9375 
