#      date    value 
 2014-01-01   0.1875 
 2014-01-02        0 
 2014-01-03        0 
 2014-01-04        0 
 2014-01-05        0 
 2014-01-06        0 
 2014-01-07     0.75 
 2014-01-08  29.1875 
 2014-01-09   0.0625 
 2014-01-10    0.125 
 2014-01-11   0.1875 
 2014-01-12   0.0625 
 2014-01-13        0 
 2014-01-14   0.0625 
 2014-01-15   0.5625 
 2014-01-16        0 
 2014-01-17   0.4375 
 2014-01-18   0.1875 
 2014-01-19        0 
 2014-01-20    0.875 
 2014-01-21   0.3125 
 2014-01-22        0 
 2014-01-23        0 
 2014-01-24        0 
 2014-01-25  14.4375 
 2014-01-26        0 
 2014-01-27        0 
 2014-01-28        0 
 2014-01-29    0.125 
 2014-01-30  16.9375 
 2014-01-31        0 
 2014-02-01   5.1875 
 2014-02-02   6.9375 
 2014-02-03   0.3125 
 2014-02-04   0.0625 
 2014-02-05        0 
 2014-02-06   0.0625 
 2014-02-07    7.875 
 2014-02-08    21.75 
 2014-02-09        0 
 2014-02-10        0 
 2014-02-11        0 
 2014-02-12        0 
 2014-02-13   6.0625 
 2014-02-14  71.3125 
 2014-02-15   1.6875 
 2014-02-16        0 
 2014-02-17        0 
 2014-02-18        0 
 2014-02-19        0 
 2014-02-20        0 
 2014-02-21        0 
 2014-02-22        0 
 2014-02-23        0 
 2014-02-24        0 
 2014-02-25        0 
 2014-02-26    7.875 
 2014-02-27  20.1875 
 2014-02-28        0 
 2014-03-01   6.9375 
 2014-03-02   0.0625 
 2014-03-03        0 
 2014-03-04  27.3125 
 2014-03-05  31.3125 
 2014-03-06        0 
 2014-03-07    0.125 
 2014-03-08   0.1875 
 2014-03-09   0.3125 
 2014-03-10   0.4375 
 2014-03-11        0 
 2014-03-12   8.1875 
 2014-03-13  34.6875 
 2014-03-14        0 
 2014-03-15        0 
 2014-03-16   0.0625 
 2014-03-17   0.1875 
 2014-03-18   4.9375 
 2014-03-19   0.4375 
 2014-03-20      6.5 
 2014-03-21   0.1875 
 2014-03-22        0 
 2014-03-23        0 
 2014-03-24        0 
 2014-03-25   3.9375 
 2014-03-26  14.1875 
 2014-03-27        0 
 2014-03-28        0 
 2014-03-29    29.75 
 2014-03-30  24.4375 
 2014-03-31        0 
 2014-04-01        0 
 2014-04-02        0 
 2014-04-03   3.5625 
 2014-04-04   7.8125 
 2014-04-05  10.5625 
 2014-04-06    1.125 
 2014-04-07        0 
 2014-04-08        0 
 2014-04-09        0 
 2014-04-10     0.25 
 2014-04-11        0 
 2014-04-12        0 
 2014-04-13   0.0625 
 2014-04-14        0 
 2014-04-15        0 
 2014-04-16        0 
 2014-04-17    7.875 
 2014-04-18        0 
 2014-04-19        0 
 2014-04-20     4.25 
 2014-04-21     1.75 
 2014-04-22   0.4375 
 2014-04-23        0 
 2014-04-24        0 
 2014-04-25        0 
 2014-04-26    0.375 
 2014-04-27    0.125 
 2014-04-28   8.6875 
 2014-04-29   60.625 
 2014-04-30    6.125 
 2014-05-01        3 
 2014-05-02        0 
