#      date    value 
 1980-01-01   1.3125 
 1980-01-02    22.75 
 1980-01-03    16.25 
 1980-01-04       18 
 1980-01-05   3.5625 
 1980-01-06  17.3125 
 1980-01-07    2.875 
 1980-01-08   53.125 
 1980-01-09   0.3125 
 1980-01-10   0.6875 
 1980-01-11   3.0625 
 1980-01-12   1.3125 
 1980-01-13   23.375 
 1980-01-14     6.25 
 1980-01-15        2 
 1980-01-16   19.625 
 1980-01-17  36.9375 
 1980-01-18   2.9375 
 1980-01-19    2.125 
 1980-01-20   12.125 
 1980-01-21   13.625 
 1980-01-22     2.25 
 1980-01-23   0.5625 
 1980-01-24    2.375 
 1980-01-25   1.6875 
 1980-01-26  24.9375 
 1980-01-27  35.5625 
 1980-01-28    3.125 
 1980-01-29   4.0625 
 1980-01-30     10.5 
 1980-01-31  10.6875 
 1980-02-01  17.9375 
 1980-02-02    35.75 
 1980-02-03  17.1875 
 1980-02-04  100.625 
 1980-02-05  13.5625 
 1980-02-06   0.4375 
 1980-02-07    4.125 
 1980-02-08   8.0625 
 1980-02-09  10.1875 
 1980-02-10    3.125 
 1980-02-11        4 
 1980-02-12    1.375 
 1980-02-13    17.25 
 1980-02-14   51.375 
 1980-02-15  39.6875 
 1980-02-16   9.8125 
 1980-02-17    2.375 
 1980-02-18   9.3125 
 1980-02-19   0.6875 
 1980-02-20    0.125 
 1980-02-21   12.125 
 1980-02-22  27.8125 
 1980-02-23   4.1875 
 1980-02-24       36 
 1980-02-25   4.1875 
 1980-02-26    0.125 
 1980-02-27   0.9375 
 1980-02-28    8.375 
 1980-02-29        0 
 1980-03-01   0.0625 
 1980-03-02    1.125 
 1980-03-03        0 
 1980-03-04  15.9375 
 1980-03-05   0.0625 
 1980-03-06   3.1875 
 1980-03-07   10.875 
 1980-03-08   2.3125 
 1980-03-09    1.375 
 1980-03-10   3.1875 
 1980-03-11        2 
 1980-03-12        0 
 1980-03-13        0 
 1980-03-14        0 
 1980-03-15        0 
 1980-03-16        0 
 1980-03-17   0.4375 
 1980-03-18   1.5625 
 1980-03-19    49.25 
 1980-03-20   1.9375 
 1980-03-21   28.875 
 1980-03-22   23.125 
 1980-03-23   0.0625 
 1980-03-24        0 
 1980-03-25   0.0625 
 1980-03-26        0 
 1980-03-27        0 
 1980-03-28        0 
 1980-03-29        0 
 1980-03-30        0 
 1980-03-31   0.0625 
 1980-04-01        0 
 1980-04-02        0 
 1980-04-03        1 
 1980-04-04        0 
 1980-04-05        0 
 1980-04-06        0 
 1980-04-07        0 
 1980-04-08        0 
 1980-04-09        0 
 1980-04-10        0 
 1980-04-11        0 
 1980-04-12        0 
 1980-04-13        0 
 1980-04-14        0 
 1980-04-15        0 
 1980-04-16   25.625 
 1980-04-17   0.5625 
 1980-04-18        0 
 1980-04-19        0 
 1980-04-20        0 
 1980-04-21        0 
 1980-04-22        0 
 1980-04-23    2.375 
 1980-04-24      0.5 
 1980-04-25        0 
 1980-04-26        0 
 1980-04-27        0 
 1980-04-28        0 
 1980-04-29     0.25 
 1980-04-30        0 
 1980-05-01        0 
 1980-05-02        0 
 1980-05-03        0 
 1980-05-04        0 
 1980-05-05        0 
 1980-05-06        0 
 1980-05-07        0 
 1980-05-08        0 
 1980-05-09        0 
 1980-05-10        0 
 1980-05-11        0 
 1980-05-12        0 
 1980-05-13        0 
 1980-05-14        0 
 1980-05-15        0 
 1980-05-16        0 
 1980-05-17        0 
 1980-05-18        0 
 1980-05-19   0.0625 
 1980-05-20   6.9375 
 1980-05-21   0.3125 
 1980-05-22        0 
 1980-05-23        0 
 1980-05-24        0 
 1980-05-25        0 
 1980-05-26        0 
 1980-05-27        0 
 1980-05-28        0 
 1980-05-29        0 
 1980-05-30        0 
 1980-05-31        0 
 1980-06-01        0 
 1980-06-02        0 
 1980-06-03        0 
 1980-06-04        0 
 1980-06-05        0 
 1980-06-06        0 
 1980-06-07        0 
 1980-06-08        0 
 1980-06-09        0 
 1980-06-10        0 
 1980-06-11        0 
 1980-06-12        0 
 1980-06-13        0 
 1980-06-14        0 
 1980-06-15        0 
 1980-06-16        0 
 1980-06-17        0 
 1980-06-18        0 
 1980-06-19        0 
 1980-06-20        0 
 1980-06-21        0 
 1980-06-22        0 
 1980-06-23        0 
 1980-06-24        0 
 1980-06-25        0 
 1980-06-26        0 
 1980-06-27        0 
 1980-06-28        0 
 1980-06-29        0 
 1980-06-30        0 
 1980-07-01        0 
 1980-07-02        0 
 1980-07-03        0 
 1980-07-04        0 
 1980-07-05        0 
 1980-07-06        0 
 1980-07-07        0 
 1980-07-08        0 
 1980-07-09        0 
 1980-07-10        0 
 1980-07-11        0 
 1980-07-12        0 
 1980-07-13        0 
 1980-07-14        0 
 1980-07-15        0 
 1980-07-16        0 
 1980-07-17        0 
 1980-07-18        0 
 1980-07-19        0 
 1980-07-20        0 
 1980-07-21        0 
 1980-07-22        0 
 1980-07-23        0 
 1980-07-24        0 
 1980-07-25        0 
 1980-07-26        0 
 1980-07-27        0 
 1980-07-28        0 
 1980-07-29        0 
 1980-07-30        0 
 1980-07-31        0 
 1980-08-01        0 
 1980-08-02        0 
 1980-08-03        0 
 1980-08-04        0 
 1980-08-05        0 
 1980-08-06        0 
 1980-08-07        0 
 1980-08-08        0 
 1980-08-09        0 
 1980-08-10        0 
 1980-08-11        0 
 1980-08-12        0 
 1980-08-13        0 
 1980-08-14        0 
 1980-08-15        0 
 1980-08-16        0 
 1980-08-17        0 
 1980-08-18        0 
 1980-08-19        0 
 1980-08-20        0 
 1980-08-21        0 
 1980-08-22        0 
 1980-08-23        0 
 1980-08-24        0 
 1980-08-25        0 
 1980-08-26        0 
 1980-08-27        0 
 1980-08-28        0 
 1980-08-29        0 
 1980-08-30        0 
 1980-08-31        0 
 1980-09-01        0 
 1980-09-02        0 
 1980-09-03        0 
 1980-09-04        0 
 1980-09-05        0 
 1980-09-06        0 
 1980-09-07        0 
 1980-09-08        0 
 1980-09-09        0 
 1980-09-10        0 
 1980-09-11        0 
 1980-09-12        0 
 1980-09-13        0 
 1980-09-14        0 
 1980-09-15        0 
 1980-09-16        0 
 1980-09-17        0 
 1980-09-18        0 
 1980-09-19        0 
 1980-09-20        0 
 1980-09-21        0 
 1980-09-22        0 
 1980-09-23        0 
 1980-09-24        0 
 1980-09-25        0 
 1980-09-26        0 
 1980-09-27        0 
 1980-09-28        0 
 1980-09-29        0 
 1980-09-30        0 
 1980-10-01        0 
 1980-10-02        0 
 1980-10-03        0 
 1980-10-04        0 
 1980-10-05        0 
 1980-10-06        0 
 1980-10-07        0 
 1980-10-08        0 
 1980-10-09        0 
 1980-10-10        0 
 1980-10-11        0 
 1980-10-12   0.0625 
 1980-10-13   3.8125 
 1980-10-14        0 
 1980-10-15        0 
 1980-10-16        0 
 1980-10-17        0 
 1980-10-18   0.0625 
 1980-10-19   0.1875 
 1980-10-20        0 
 1980-10-21        0 
 1980-10-22        0 
 1980-10-23        0 
 1980-10-24     4.25 
 1980-10-25   0.3125 
 1980-10-26   6.5625 
 1980-10-27        0 
 1980-10-28   0.0625 
 1980-10-29        0 
 1980-10-30        0 
 1980-10-31        0 
 1980-11-01        0 
 1980-11-02        0 
 1980-11-03        0 
 1980-11-04        0 
 1980-11-05        0 
 1980-11-06        0 
 1980-11-07    2.625 
 1980-11-08   9.1875 
 1980-11-09   0.0625 
 1980-11-10    0.125 
 1980-11-11        0 
 1980-11-12        0 
 1980-11-13  10.5625 
 1980-11-14   5.3125 
 1980-11-15  11.3125 
 1980-11-16        0 
 1980-11-17   0.0625 
 1980-11-18        0 
 1980-11-19     1.75 
 1980-11-20       18 
 1980-11-21        0 
 1980-11-22        0 
 1980-11-23     1.75 
 1980-11-24    0.875 
 1980-11-25    0.875 
 1980-11-26        0 
 1980-11-27     13.5 
 1980-11-28     1.25 
 1980-11-29       14 
 1980-11-30   0.1875 
 1980-12-01   1.5625 
 1980-12-02   0.3125 
 1980-12-03     1.25 
 1980-12-04   1.4375 
 1980-12-05   0.4375 
 1980-12-06  16.8125 
 1980-12-07  35.4375 
 1980-12-08    3.875 
 1980-12-09        0 
 1980-12-10    0.625 
 1980-12-11  23.3125 
 1980-12-12        0 
 1980-12-13    0.125 
 1980-12-14   0.3125 
 1980-12-15  22.1875 
 1980-12-16   2.6875 
 1980-12-17   7.0625 
 1980-12-18   4.3125 
 1980-12-19   12.875 
 1980-12-20   0.1875 
 1980-12-21        0 
 1980-12-22  22.9375 
 1980-12-23       23 
 1980-12-24    0.125 
 1980-12-25   0.0625 
 1980-12-26   1.3125 
 1980-12-27   0.3125 
 1980-12-28  33.1875 
 1980-12-29        0 
 1980-12-30    8.625 
 1980-12-31   0.1875 
