#      date    value 
 1979-01-02   3.4375 
 1979-01-03        0 
 1979-01-04        0 
 1979-01-05        0 
 1979-01-06        0 
 1979-01-07   3.0625 
 1979-01-08   4.5625 
 1979-01-09   4.3125 
 1979-01-10     6.75 
 1979-01-11     5.25 
 1979-01-12   3.5625 
 1979-01-13   2.4375 
 1979-01-14   0.0625 
 1979-01-15        0 
 1979-01-16        0 
 1979-01-17        0 
 1979-01-18        0 
 1979-01-19        0 
 1979-01-20    4.375 
 1979-01-21    0.125 
 1979-01-22        0 
 1979-01-23   5.0625 
 1979-01-24    0.875 
 1979-01-25   1.3125 
 1979-01-26     4.25 
 1979-01-27        0 
 1979-01-28        0 
 1979-01-29   2.4375 
 1979-01-30   0.4375 
 1979-01-31     0.25 
 1979-02-01   9.6875 
 1979-02-02        8 
 1979-02-03        0 
 1979-02-04        0 
 1979-02-05        0 
 1979-02-06        0 
 1979-02-07     3.25 
 1979-02-08   0.0625 
 1979-02-09        0 
 1979-02-10        0 
 1979-02-11   1.9375 
 1979-02-12   4.8125 
 1979-02-13   8.0625 
 1979-02-14    5.625 
 1979-02-15   0.0625 
 1979-02-16        0 
 1979-02-17        0 
 1979-02-18        0 
 1979-02-19        0 
 1979-02-20        0 
 1979-02-21        0 
 1979-02-22   2.9375 
 1979-02-23   1.0625 
 1979-02-24    2.375 
 1979-02-25        0 
 1979-02-26        0 
 1979-02-27        0 
 1979-02-28   0.0625 
 1979-03-01   0.8125 
 1979-03-02   3.3125 
 1979-03-03   1.6875 
 1979-03-04   9.4375 
 1979-03-05        0 
 1979-03-06        0 
 1979-03-07   3.4375 
 1979-03-08     0.75 
 1979-03-09   14.875 
 1979-03-10    1.375 
 1979-03-11    10.75 
 1979-03-12   0.1875 
 1979-03-13   7.8125 
 1979-03-14    5.625 
 1979-03-15   8.3125 
 1979-03-16      0.5 
 1979-03-17   0.1875 
 1979-03-18   0.0625 
 1979-03-19        0 
 1979-03-20    0.375 
 1979-03-21   2.4375 
 1979-03-22   4.0625 
 1979-03-23   0.8125 
 1979-03-24        0 
 1979-03-25    7.625 
 1979-03-26   3.4375 
 1979-03-27    4.875 
 1979-03-28   6.6875 
 1979-03-29   0.4375 
 1979-03-30   0.6875 
 1979-03-31      0.5 
 1979-04-01        1 
 1979-04-02      2.5 
 1979-04-03   4.4375 
 1979-04-04        0 
 1979-04-05   0.5625 
 1979-04-06    2.875 
 1979-04-07        0 
 1979-04-08        0 
 1979-04-09        0 
 1979-04-10        0 
 1979-04-11     0.25 
 1979-04-12   3.5625 
 1979-04-13        0 
 1979-04-14        0 
 1979-04-15   0.0625 
 1979-04-16   1.4375 
 1979-04-17   0.6875 
 1979-04-18        0 
 1979-04-19        0 
 1979-04-20     6.75 
 1979-04-21   1.1875 
 1979-04-22   2.4375 
 1979-04-23      6.5 
 1979-04-24    2.125 
 1979-04-25     5.75 
 1979-04-26     3.25 
 1979-04-27   1.6875 
 1979-04-28    5.875 
 1979-04-29   0.9375 
 1979-04-30   8.6875 
 1979-05-01   12.625 
 1979-05-02  11.4375 
 1979-05-03   1.4375 
 1979-05-04      3.5 
 1979-05-05        7 
 1979-05-06    0.125 
 1979-05-07        0 
 1979-05-08        0 
 1979-05-09        0 
 1979-05-10        0 
 1979-05-11   8.3125 
 1979-05-12        0 
 1979-05-13        0 
 1979-05-14        0 
 1979-05-15        0 
 1979-05-16   0.0625 
 1979-05-17   2.8125 
 1979-05-18    0.125 
 1979-05-19        0 
 1979-05-20   0.6875 
 1979-05-21   2.3125 
 1979-05-22    8.125 
 1979-05-23    4.625 
 1979-05-24   6.3125 
 1979-05-25     4.75 
 1979-05-26   6.8125 
 1979-05-27    3.625 
 1979-05-28        0 
 1979-05-29  14.5625 
 1979-05-30   6.0625 
 1979-05-31    12.75 
 1979-06-01   19.125 
 1979-06-02        0 
 1979-06-03     0.75 
 1979-06-04   0.8125 
 1979-06-05        0 
 1979-06-06   0.5625 
 1979-06-07   4.4375 
 1979-06-08   0.1875 
 1979-06-09   0.0625 
 1979-06-10   0.5625 
 1979-06-11     5.25 
 1979-06-12    0.625 
 1979-06-13     14.5 
 1979-06-14       17 
 1979-06-15   9.3125 
 1979-06-16    0.125 
 1979-06-17        0 
 1979-06-18        0 
 1979-06-19        0 
 1979-06-20        0 
 1979-06-21        0 
 1979-06-22   0.4375 
 1979-06-23   0.0625 
 1979-06-24   6.4375 
 1979-06-25    1.125 
 1979-06-26        0 
 1979-06-27        0 
 1979-06-28   0.1875 
 1979-06-29      0.5 
 1979-06-30   0.0625 
 1979-07-01        0 
 1979-07-02        0 
 1979-07-03        0 
 1979-07-04        0 
 1979-07-05        0 
 1979-07-06        0 
 1979-07-07   2.8125 
 1979-07-08   1.4375 
 1979-07-09   2.4375 
 1979-07-10   0.1875 
 1979-07-11        0 
 1979-07-12        0 
 1979-07-13   0.1875 
 1979-07-14        0 
 1979-07-15        0 
 1979-07-16    0.625 
 1979-07-17     0.75 
 1979-07-18     8.25 
 1979-07-19   0.3125 
 1979-07-20        0 
 1979-07-21    2.125 
 1979-07-22     0.25 
 1979-07-23    0.625 
 1979-07-24     0.75 
 1979-07-25    0.125 
 1979-07-26        0 
 1979-07-27        0 
 1979-07-28   3.9375 
 1979-07-29    4.375 
 1979-07-30    0.375 
 1979-07-31   0.5625 
 1979-08-01    5.375 
 1979-08-02     0.25 
 1979-08-03    0.375 
 1979-08-04     5.75 
 1979-08-05        0 
 1979-08-06        0 
 1979-08-07    0.375 
 1979-08-08   3.8125 
 1979-08-09  11.0625 
 1979-08-10   1.4375 
 1979-08-11   1.6875 
 1979-08-12     1.25 
 1979-08-13   0.0625 
 1979-08-14        0 
 1979-08-15        0 
 1979-08-16        0 
 1979-08-17      2.5 
 1979-08-18        0 
 1979-08-19   0.1875 
 1979-08-20    0.625 
 1979-08-21    2.125 
 1979-08-22        0 
 1979-08-23     3.75 
 1979-08-24        1 
 1979-08-25   2.1875 
 1979-08-26   3.1875 
 1979-08-27   2.0625 
 1979-08-28   0.0625 
 1979-08-29        0 
 1979-08-30        0 
 1979-08-31        0 
 1979-09-01        0 
 1979-09-02        1 
 1979-09-03    3.375 
 1979-09-04        0 
 1979-09-05        0 
 1979-09-06        0 
 1979-09-07        0 
 1979-09-08        0 
 1979-09-09   0.0625 
 1979-09-10        0 
 1979-09-11        0 
 1979-09-12        0 
 1979-09-13        0 
 1979-09-14   0.8125 
 1979-09-15   0.0625 
 1979-09-16        0 
 1979-09-17        0 
 1979-09-18   0.4375 
 1979-09-19   3.1875 
 1979-09-20   1.4375 
 1979-09-21   0.0625 
 1979-09-22        0 
 1979-09-23   0.1875 
 1979-09-24   1.0625 
 1979-09-25   0.1875 
 1979-09-26        0 
 1979-09-27    2.125 
 1979-09-28        0 
 1979-09-29        0 
 1979-09-30        0 
 1979-10-01        0 
 1979-10-02        0 
 1979-10-03    0.125 
 1979-10-04    0.875 
 1979-10-05    0.875 
 1979-10-06   0.0625 
 1979-10-07        0 
 1979-10-08        0 
 1979-10-09   0.1875 
 1979-10-10    0.125 
 1979-10-11        1 
 1979-10-12    10.75 
 1979-10-13    3.875 
 1979-10-14    6.125 
 1979-10-15    2.875 
 1979-10-16     0.25 
 1979-10-17   0.0625 
 1979-10-18    2.125 
 1979-10-19        0 
 1979-10-20        0 
 1979-10-21        0 
 1979-10-22        0 
 1979-10-23        0 
 1979-10-24        0 
 1979-10-25        0 
 1979-10-26        0 
 1979-10-27        0 
 1979-10-28        0 
 1979-10-29    0.875 
 1979-10-30    0.125 
 1979-10-31   7.4375 
 1979-11-01      0.5 
 1979-11-02   0.8125 
 1979-11-03      1.5 
 1979-11-04  16.8125 
 1979-11-05      4.5 
 1979-11-06   4.4375 
 1979-11-07   10.125 
 1979-11-08    2.625 
 1979-11-09     8.75 
 1979-11-10   4.6875 
 1979-11-11   1.5625 
 1979-11-12   7.4375 
 1979-11-13     0.25 
 1979-11-14      1.5 
 1979-11-15        0 
 1979-11-16   0.0625 
 1979-11-17        0 
 1979-11-18    4.625 
 1979-11-19    1.875 
 1979-11-20        0 
 1979-11-21        0 
 1979-11-22        0 
 1979-11-23     0.25 
 1979-11-24      0.5 
 1979-11-25        0 
 1979-11-26        1 
 1979-11-27   0.5625 
 1979-11-28        0 
 1979-11-29        0 
 1979-11-30        2 
 1979-12-01    1.375 
 1979-12-02        0 
 1979-12-03        0 
 1979-12-04        0 
 1979-12-05     3.75 
 1979-12-06   0.0625 
 1979-12-07   3.9375 
 1979-12-08   2.1875 
 1979-12-09   9.5625 
 1979-12-10   4.3125 
 1979-12-11    8.875 
 1979-12-12   1.3125 
 1979-12-13    6.375 
 1979-12-14   12.625 
 1979-12-15   10.625 
 1979-12-16      2.5 
 1979-12-17   0.0625 
 1979-12-18   4.8125 
 1979-12-19   0.0625 
 1979-12-20   1.6875 
 1979-12-21   1.5625 
 1979-12-22   0.0625 
 1979-12-23    2.125 
 1979-12-24    1.125 
 1979-12-25   1.3125 
 1979-12-26        0 
 1979-12-27   2.1875 
 1979-12-28  18.3125 
 1979-12-29  10.5625 
 1979-12-30     9.75 
 1979-12-31      4.5 
