#      date    value 
 1979-01-02        0 
 1979-01-03        0 
 1979-01-04   2.5625 
 1979-01-05    0.625 
 1979-01-06        0 
 1979-01-07        0 
 1979-01-08     1.75 
 1979-01-09   2.3125 
 1979-01-10  29.6875 
 1979-01-11   13.625 
 1979-01-12   3.5625 
 1979-01-13    1.125 
 1979-01-14  11.8125 
 1979-01-15      0.5 
 1979-01-16    0.125 
 1979-01-17        0 
 1979-01-18        0 
 1979-01-19    1.625 
 1979-01-20   1.1875 
 1979-01-21    0.625 
 1979-01-22        0 
 1979-01-23        0 
 1979-01-24   1.5625 
 1979-01-25     1.25 
 1979-01-26     0.25 
 1979-01-27   5.1875 
 1979-01-28    3.875 
 1979-01-29        0 
 1979-01-30        0 
 1979-01-31        0 
 1979-02-01   0.0625 
 1979-02-02        0 
 1979-02-03   1.0625 
 1979-02-04   7.4375 
 1979-02-05     7.25 
 1979-02-06   9.3125 
 1979-02-07    26.75 
 1979-02-08    2.125 
 1979-02-09   6.3125 
 1979-02-10    11.25 
 1979-02-11  10.4375 
 1979-02-12   8.9375 
 1979-02-13   10.375 
 1979-02-14     2.75 
 1979-02-15   1.8125 
 1979-02-16    6.625 
 1979-02-17     4.25 
 1979-02-18    9.375 
 1979-02-19   2.8125 
 1979-02-20   1.8125 
 1979-02-21   3.9375 
 1979-02-22   1.8125 
 1979-02-23   5.9375 
 1979-02-24   6.4375 
 1979-02-25   1.5625 
 1979-02-26        4 
 1979-02-27     7.25 
 1979-02-28   11.375 
 1979-03-01     0.25 
 1979-03-02        0 
 1979-03-03  13.3125 
 1979-03-04   4.0625 
 1979-03-05     5.25 
 1979-03-06     0.75 
 1979-03-07   0.4375 
 1979-03-08        0 
 1979-03-09        0 
 1979-03-10        0 
 1979-03-11        0 
 1979-03-12        0 
 1979-03-13        0 
 1979-03-14        0 
 1979-03-15   6.9375 
 1979-03-16   2.8125 
 1979-03-17    1.125 
 1979-03-18     1.75 
 1979-03-19   0.9375 
 1979-03-20   0.0625 
 1979-03-21   0.0625 
 1979-03-22   0.3125 
 1979-03-23        0 
 1979-03-24        0 
 1979-03-25        0 
 1979-03-26   1.0625 
 1979-03-27     9.25 
 1979-03-28      4.5 
 1979-03-29      2.5 
 1979-03-30   2.1875 
 1979-03-31   1.9375 
 1979-04-01   1.4375 
 1979-04-02        4 
 1979-04-03   0.6875 
 1979-04-04        0 
 1979-04-05        0 
 1979-04-06   2.5625 
 1979-04-07   1.6875 
 1979-04-08    0.875 
 1979-04-09   5.3125 
 1979-04-10   3.1875 
 1979-04-11    8.875 
 1979-04-12    2.625 
 1979-04-13   6.1875 
 1979-04-14   1.1875 
 1979-04-15    1.625 
 1979-04-16  11.5625 
 1979-04-17    4.625 
 1979-04-18   2.3125 
 1979-04-19     0.25 
 1979-04-20   0.1875 
 1979-04-21   0.0625 
 1979-04-22   8.6875 
 1979-04-23   1.0625 
 1979-04-24   2.1875 
 1979-04-25     0.25 
 1979-04-26        0 
 1979-04-27   2.1875 
 1979-04-28     0.25 
 1979-04-29   0.4375 
 1979-04-30   0.3125 
 1979-05-01   0.0625 
 1979-05-02        0 
 1979-05-03   0.0625 
 1979-05-04   1.0625 
 1979-05-05    15.75 
 1979-05-06   3.1875 
 1979-05-07     2.25 
 1979-05-08     1.25 
 1979-05-09    0.875 
 1979-05-10        0 
 1979-05-11        0 
 1979-05-12        0 
 1979-05-13        0 
 1979-05-14        0 
 1979-05-15     0.75 
 1979-05-16        0 
 1979-05-17        0 
 1979-05-18        0 
 1979-05-19        0 
 1979-05-20        0 
 1979-05-21        0 
 1979-05-22    0.375 
 1979-05-23   0.6875 
 1979-05-24        0 
 1979-05-25        0 
 1979-05-26    0.125 
 1979-05-27   0.3125 
 1979-05-28    1.625 
 1979-05-29    0.875 
 1979-05-30        0 
 1979-05-31        0 
 1979-06-01        0 
 1979-06-02        0 
 1979-06-03        0 
 1979-06-04        0 
 1979-06-05        0 
 1979-06-06   0.6875 
 1979-06-07   0.1875 
 1979-06-08        0 
 1979-06-09        0 
 1979-06-10        0 
 1979-06-11        0 
 1979-06-12        0 
 1979-06-13        0 
 1979-06-14        0 
 1979-06-15        0 
 1979-06-16   4.8125 
 1979-06-17   3.5625 
 1979-06-18     0.75 
 1979-06-19    0.125 
 1979-06-20        0 
 1979-06-21        0 
 1979-06-22        0 
 1979-06-23        0 
 1979-06-24        0 
 1979-06-25    0.375 
 1979-06-26   0.0625 
 1979-06-27        0 
 1979-06-28        0 
 1979-06-29        0 
 1979-06-30      0.5 
 1979-07-01   5.4375 
 1979-07-02   0.1875 
 1979-07-03     0.25 
 1979-07-04    0.625 
 1979-07-05        0 
 1979-07-06    2.375 
 1979-07-07    0.875 
 1979-07-08    0.125 
 1979-07-09   0.4375 
 1979-07-10   4.6875 
 1979-07-11        0 
 1979-07-12   0.3125 
 1979-07-13        0 
 1979-07-14        0 
 1979-07-15        0 
 1979-07-16        0 
 1979-07-17        0 
 1979-07-18        0 
 1979-07-19        0 
 1979-07-20   0.0625 
 1979-07-21        0 
 1979-07-22        0 
 1979-07-23        0 
 1979-07-24        0 
 1979-07-25        0 
 1979-07-26        0 
 1979-07-27        0 
 1979-07-28        0 
 1979-07-29        0 
 1979-07-30        0 
 1979-07-31        0 
 1979-08-01        0 
 1979-08-02        0 
 1979-08-03        0 
 1979-08-04        0 
 1979-08-05        0 
 1979-08-06        0 
 1979-08-07        0 
 1979-08-08        0 
 1979-08-09        0 
 1979-08-10        0 
 1979-08-11        0 
 1979-08-12        0 
 1979-08-13    1.125 
 1979-08-14     7.25 
 1979-08-15        2 
 1979-08-16    6.375 
 1979-08-17   1.0625 
 1979-08-18        0 
 1979-08-19    7.625 
 1979-08-20  14.1875 
 1979-08-21   12.875 
 1979-08-22    0.375 
 1979-08-23   1.1875 
 1979-08-24     2.75 
 1979-08-25     1.75 
 1979-08-26      1.5 
 1979-08-27     0.75 
 1979-08-28      5.5 
 1979-08-29   5.4375 
 1979-08-30   2.9375 
 1979-08-31   0.6875 
 1979-09-01    5.625 
 1979-09-02        7 
 1979-09-03   15.375 
 1979-09-04   0.0625 
 1979-09-05        0 
 1979-09-06        0 
 1979-09-07        0 
 1979-09-08   0.6875 
 1979-09-09   1.0625 
 1979-09-10        0 
 1979-09-11        0 
 1979-09-12        0 
 1979-09-13        0 
 1979-09-14        0 
 1979-09-15        0 
 1979-09-16        0 
 1979-09-17        0 
 1979-09-18        0 
 1979-09-19        0 
 1979-09-20        0 
 1979-09-21        0 
 1979-09-22        0 
 1979-09-23        0 
 1979-09-24        0 
 1979-09-25        0 
 1979-09-26        0 
 1979-09-27        0 
 1979-09-28   0.4375 
 1979-09-29        0 
 1979-09-30        0 
 1979-10-01        0 
 1979-10-02        0 
 1979-10-03        0 
 1979-10-04        0 
 1979-10-05        0 
 1979-10-06        0 
 1979-10-07        0 
 1979-10-08        0 
 1979-10-09        0 
 1979-10-10        0 
 1979-10-11        0 
 1979-10-12        0 
 1979-10-13        0 
 1979-10-14   6.1875 
 1979-10-15   4.9375 
 1979-10-16        0 
 1979-10-17      0.5 
 1979-10-18   7.9375 
 1979-10-19       28 
 1979-10-20    9.875 
 1979-10-21     2.25 
 1979-10-22    7.375 
 1979-10-23      7.5 
 1979-10-24    5.125 
 1979-10-25       12 
