#      date    value 
 2016-01-01   0.0625 
 2016-01-02        0 
 2016-01-03        0 
 2016-01-04        0 
 2016-01-05        0 
 2016-01-06        0 
 2016-01-07        0 
 2016-01-08        0 
 2016-01-09        0 
 2016-01-10        0 
 2016-01-11        0 
 2016-01-12        0 
 2016-01-13   0.8125 
 2016-01-14   0.0625 
 2016-01-15        0 
 2016-01-16        0 
 2016-01-17        0 
 2016-01-18        0 
 2016-01-19    0.875 
 2016-01-20        0 
 2016-01-21    1.125 
 2016-01-22   2.6875 
 2016-01-23    1.625 
 2016-01-24   0.3125 
 2016-01-25        0 
 2016-01-26        0 
 2016-01-27   0.0625 
 2016-01-28   0.0625 
 2016-01-29        0 
 2016-01-30    15.25 
 2016-01-31     0.25 
 2016-02-01        0 
 2016-02-02   6.4375 
 2016-02-03        0 
 2016-02-04        0 
 2016-02-05        0 
 2016-02-06   0.0625 
 2016-02-07        0 
 2016-02-08        0 
 2016-02-09        0 
 2016-02-10        0 
 2016-02-11        0 
 2016-02-12        0 
 2016-02-13   0.4375 
 2016-02-14        0 
 2016-02-15     1.25 
 2016-02-16        0 
 2016-02-17        1 
 2016-02-18   0.6875 
 2016-02-19   1.3125 
 2016-02-20        0 
 2016-02-21        0 
 2016-02-22   1.1875 
 2016-02-23    6.375 
 2016-02-24  23.9375 
 2016-02-25    0.625 
 2016-02-26     0.75 
 2016-02-27        0 
 2016-02-28   0.3125 
 2016-02-29        0 
 2016-03-01        0 
 2016-03-02        0 
 2016-03-03        0 
 2016-03-04        0 
 2016-03-05        0 
 2016-03-06    1.375 
 2016-03-07        0 
 2016-03-08        0 
 2016-03-09     1.75 
 2016-03-10   2.1875 
 2016-03-11    0.125 
 2016-03-12   0.1875 
 2016-03-13    0.625 
 2016-03-14        0 
 2016-03-15        0 
 2016-03-16        0 
 2016-03-17   18.375 
 2016-03-18   2.5625 
 2016-03-19        0 
 2016-03-20        0 
 2016-03-21        0 
 2016-03-22        0 
 2016-03-23        0 
 2016-03-24        0 
 2016-03-25   2.9375 
 2016-03-26   2.4375 
 2016-03-27        0 
 2016-03-28    0.375 
 2016-03-29        0 
 2016-03-30        0 
 2016-03-31        0 
 2016-04-01   1.8125 
 2016-04-02        0 
 2016-04-03        0 
 2016-04-04        0 
 2016-04-05  17.0625 
 2016-04-06   1.9375 
 2016-04-07        0 
 2016-04-08    0.625 
 2016-04-09    0.625 
 2016-04-10     3.25 
 2016-04-11      1.5 
 2016-04-12    1.125 
 2016-04-13        0 
 2016-04-14    0.125 
 2016-04-15        1 
 2016-04-16        0 
 2016-04-17        0 
 2016-04-18        0 
 2016-04-19        0 
 2016-04-20   2.8125 
 2016-04-21    2.375 
 2016-04-22    0.125 
 2016-04-23        0 
 2016-04-24        0 
 2016-04-25        0 
 2016-04-26        0 
 2016-04-27   0.6875 
 2016-04-28   3.3125 
 2016-04-29   7.8125 
 2016-04-30  23.3125 
 2016-05-01     8.25 
 2016-05-02    4.625 
 2016-05-03   12.875 
 2016-05-04        0 
 2016-05-05        0 
 2016-05-06    0.375 
 2016-05-07      0.5 
 2016-05-08    20.75 
 2016-05-09   16.625 
 2016-05-10   5.9375 
 2016-05-11    8.875 
 2016-05-12   2.0625 
 2016-05-13        0 
 2016-05-14        0 
 2016-05-15   0.1875 
 2016-05-16    6.375 
 2016-05-17   0.5625 
 2016-05-18   1.4375 
 2016-05-19        7 
 2016-05-20   0.0625 
 2016-05-21   0.0625 
 2016-05-22    15.75 
 2016-05-23    4.875 
 2016-05-24   0.0625 
 2016-05-25  15.9375 
 2016-05-26    3.375 
 2016-05-27   1.6875 
 2016-05-28      0.5 
 2016-05-29        0 
 2016-05-30        0 
 2016-05-31        0 
 2016-06-01        0 
 2016-06-02    0.125 
 2016-06-03        0 
 2016-06-04   0.8125 
 2016-06-05   0.1875 
 2016-06-06       11 
 2016-06-07   5.9375 
 2016-06-08  14.3125 
 2016-06-09    6.375 
 2016-06-10   12.375 
 2016-06-11      0.5 
 2016-06-12        0 
 2016-06-13        0 
 2016-06-14        0 
 2016-06-15     0.25 
 2016-06-16   0.4375 
 2016-06-17    2.375 
 2016-06-18        0 
 2016-06-19    0.125 
 2016-06-20   0.5625 
 2016-06-21    7.375 
