#      date    value 
 2011-08-21        0 
 2011-08-22        0 
 2011-08-23        0 
 2011-08-24   2.3125 
 2011-08-25   2.0625 
 2011-08-26        0 
 2011-08-27   0.3125 
 2011-08-28    3.875 
 2011-08-29        0 
 2011-08-30        0 
 2011-08-31        0 
 2011-09-01        0 
 2011-09-02        0 
 2011-09-03        0 
 2011-09-04        0 
 2011-09-05    1.125 
 2011-09-06   0.3125 
 2011-09-07        0 
 2011-09-08        0 
 2011-09-09        0 
 2011-09-10        0 
 2011-09-11        0 
 2011-09-12        0 
 2011-09-13        0 
 2011-09-14        0 
 2011-09-15        0 
 2011-09-16        0 
 2011-09-17        0 
 2011-09-18        0 
 2011-09-19        0 
 2011-09-20        0 
 2011-09-21        0 
 2011-09-22        0 
 2011-09-23        0 
 2011-09-24        0 
 2011-09-25   0.1875 
 2011-09-26   0.0625 
 2011-09-27        0 
 2011-09-28        0 
 2011-09-29        0 
 2011-09-30        0 
 2011-10-01        0 
 2011-10-02        0 
 2011-10-03   6.5625 
 2011-10-04      4.5 
 2011-10-05   2.3125 
 2011-10-06   0.0625 
 2011-10-07        0 
 2011-10-08        0 
 2011-10-09   0.0625 
 2011-10-10        8 
 2011-10-11    9.375 
 2011-10-12     0.25 
 2011-10-13        0 
 2011-10-14   0.0625 
 2011-10-15    0.125 
 2011-10-16        4 
 2011-10-17        0 
 2011-10-18        0 
 2011-10-19        0 
 2011-10-20        0 
 2011-10-21        0 
 2011-10-22        0 
 2011-10-23        0 
 2011-10-24        0 
 2011-10-25        0 
 2011-10-26        0 
 2011-10-27        0 
 2011-10-28        0 
 2011-10-29     0.25 
 2011-10-30    0.125 
 2011-10-31   0.3125 
 2011-11-01        0 
 2011-11-02        0 
 2011-11-03   0.8125 
 2011-11-04    0.125 
 2011-11-05    0.125 
 2011-11-06        2 
 2011-11-07      0.5 
 2011-11-08        0 
 2011-11-09        0 
 2011-11-10        0 
 2011-11-11        0 
 2011-11-12   0.6875 
 2011-11-13   0.6875 
 2011-11-14    0.375 
 2011-11-15    0.375 
 2011-11-16   1.9375 
 2011-11-17   9.8125 
 2011-11-18     14.5 
 2011-11-19   0.1875 
 2011-11-20        0 
 2011-11-21    0.625 
 2011-11-22   22.125 
 2011-11-23   0.8125 
 2011-11-24   0.5625 
 2011-11-25      1.5 
 2011-11-26        0 
 2011-11-27        0 
 2011-11-28   0.6875 
 2011-11-29        0 
 2011-11-30      0.5 
 2011-12-01        0 
 2011-12-02        0 
 2011-12-03        0 
 2011-12-04        0 
 2011-12-05        0 
 2011-12-06        0 
 2011-12-07        0 
 2011-12-08        0 
 2011-12-09        0 
 2011-12-10        0 
 2011-12-11        0 
 2011-12-12        0 
 2011-12-13        0 
 2011-12-14        0 
 2011-12-15   0.4375 
 2011-12-16        0 
 2011-12-17        0 
 2011-12-18        0 
 2011-12-19        0 
 2011-12-20        0 
 2011-12-21        0 
 2011-12-22        0 
 2011-12-23        0 
 2011-12-24        0 
 2011-12-25    0.375 
 2011-12-26   0.1875 
 2011-12-27      3.5 
 2011-12-28  23.1875 
 2011-12-29  11.4375 
 2011-12-30   77.375 
 2011-12-31    4.375 
