#      date    value 
 2009-01-01   0.4375 
 2009-01-02    0.125 
 2009-01-03     0.75 
 2009-01-04   6.1875 
 2009-01-05        0 
 2009-01-06        0 
 2009-01-07   0.3125 
 2009-01-08   0.3125 
 2009-01-09        0 
 2009-01-10        0 
 2009-01-11        0 
 2009-01-12      0.5 
 2009-01-13   0.5625 
 2009-01-14        0 
 2009-01-15        0 
 2009-01-16        0 
 2009-01-17    3.125 
 2009-01-18   0.5625 
 2009-01-19   1.0625 
 2009-01-20     0.75 
 2009-01-21        0 
 2009-01-22        0 
 2009-01-23    0.125 
 2009-01-24        0 
 2009-01-25        0 
 2009-01-26        0 
 2009-01-27        0 
 2009-01-28        0 
 2009-01-29   0.5625 
 2009-01-30        0 
 2009-01-31    0.125 
 2009-02-01        0 
 2009-02-02        0 
 2009-02-03        0 
 2009-02-04        0 
 2009-02-05        0 
 2009-02-06     0.25 
 2009-02-07   0.0625 
 2009-02-08        0 
 2009-02-09   0.5625 
 2009-02-10   0.6875 
 2009-02-11    0.125 
 2009-02-12     1.25 
 2009-02-13    0.375 
 2009-02-14   0.5625 
 2009-02-15        0 
 2009-02-16        0 
 2009-02-17   0.0625 
 2009-02-18     0.75 
 2009-02-19        0 
 2009-02-20   0.0625 
 2009-02-21   0.4375 
 2009-02-22   0.4375 
 2009-02-23    0.125 
 2009-02-24   0.0625 
 2009-02-25     1.25 
 2009-02-26   0.4375 
 2009-02-27     5.75 
 2009-02-28   0.6875 
 2009-03-01   0.3125 
 2009-03-02   0.3125 
 2009-03-03    0.125 
 2009-03-04   0.6875 
 2009-03-05        0 
 2009-03-06   0.1875 
 2009-03-07   0.1875 
 2009-03-08        0 
 2009-03-09   0.0625 
 2009-03-10   2.4375 
 2009-03-11   1.6875 
 2009-03-12   0.5625 
 2009-03-13    1.125 
 2009-03-14    1.125 
 2009-03-15    0.625 
 2009-03-16   0.4375 
 2009-03-17    0.125 
 2009-03-18        0 
 2009-03-19        0 
 2009-03-20        0 
 2009-03-21   2.0625 
 2009-03-22        0 
 2009-03-23     3.75 
 2009-03-24  11.6875 
 2009-03-25   4.6875 
 2009-03-26        0 
 2009-03-27   0.3125 
 2009-03-28   1.1875 
 2009-03-29        0 
 2009-03-30     0.25 
 2009-03-31  12.3125 
 2009-04-01   10.375 
 2009-04-02     0.75 
 2009-04-03    0.125 
 2009-04-04   1.1875 
 2009-04-05   0.0625 
 2009-04-06        0 
 2009-04-07        0 
 2009-04-08   0.1875 
 2009-04-09        0 
 2009-04-10        0 
 2009-04-11    0.375 
 2009-04-12        0 
 2009-04-13        0 
 2009-04-14        0 
 2009-04-15   0.3125 
 2009-04-16   0.3125 
 2009-04-17   0.0625 
 2009-04-18   0.0625 
 2009-04-19   8.1875 
 2009-04-20       16 
 2009-04-21       13 
 2009-04-22   0.9375 
 2009-04-23        1 
 2009-04-24    7.875 
 2009-04-25   4.1875 
 2009-04-26  12.0625 
 2009-04-27    6.125 
 2009-04-28    0.625 
 2009-04-29   0.0625 
 2009-04-30      1.5 
 2009-05-01    0.625 
 2009-05-02   0.1875 
 2009-05-03    0.375 
 2009-05-04   0.3125 
 2009-05-05    3.375 
 2009-05-06  25.8125 
 2009-05-07   1.3125 
 2009-05-08        0 
 2009-05-09    0.125 
 2009-05-10        0 
 2009-05-11        0 
 2009-05-12   0.0625 
 2009-05-13   5.1875 
 2009-05-14  10.3125 
 2009-05-15    0.125 
 2009-05-16    3.875 
 2009-05-17   0.1875 
 2009-05-18   0.3125 
 2009-05-19   1.4375 
 2009-05-20   2.9375 
 2009-05-21    1.625 
 2009-05-22        0 
 2009-05-23   0.0625 
 2009-05-24        0 
 2009-05-25        0 
 2009-05-26   3.4375 
 2009-05-27    0.375 
 2009-05-28   2.9375 
 2009-05-29   0.0625 
 2009-05-30   0.6875 
 2009-05-31    2.875 
 2009-06-01   1.5625 
 2009-06-02        0 
 2009-06-03        0 
 2009-06-04        0 
 2009-06-05        0 
 2009-06-06   1.4375 
 2009-06-07   7.0625 
 2009-06-08  16.9375 
 2009-06-09    0.125 
 2009-06-10    0.125 
 2009-06-11   0.0625 
 2009-06-12        0 
 2009-06-13        4 
 2009-06-14    0.625 
 2009-06-15        0 
 2009-06-16        0 
 2009-06-17        0 
 2009-06-18        0 
 2009-06-19    0.875 
 2009-06-20   0.0625 
 2009-06-21        0 
 2009-06-22     0.75 
 2009-06-23        0 
 2009-06-24        0 
 2009-06-25        0 
 2009-06-26        0 
 2009-06-27    5.625 
 2009-06-28    0.875 
 2009-06-29    3.125 
 2009-06-30      0.5 
 2009-07-01   0.0625 
 2009-07-02        0 
 2009-07-03        0 
 2009-07-04        0 
 2009-07-05        0 
 2009-07-06        0 
 2009-07-07        0 
 2009-07-08        0 
 2009-07-09        0 
 2009-07-10   5.8125 
 2009-07-11   1.4375 
 2009-07-12        0 
 2009-07-13        0 
 2009-07-14     6.25 
 2009-07-15   8.0625 
 2009-07-16     0.25 
 2009-07-17    1.625 
 2009-07-18        0 
 2009-07-19        0 
 2009-07-20    0.125 
 2009-07-21    3.125 
 2009-07-22    1.375 
 2009-07-23   0.0625 
 2009-07-24    1.875 
 2009-07-25   4.9375 
 2009-07-26        0 
 2009-07-27      0.5 
 2009-07-28    0.875 
 2009-07-29        0 
 2009-07-30   11.875 
 2009-07-31    0.125 
 2009-08-01   2.1875 
 2009-08-02      0.5 
 2009-08-03   2.3125 
 2009-08-04        0 
 2009-08-05        0 
 2009-08-06        0 
 2009-08-07   0.1875 
 2009-08-08   9.5625 
 2009-08-09   1.4375 
 2009-08-10        0 
 2009-08-11        0 
 2009-08-12        0 
 2009-08-13        0 
 2009-08-14   1.3125 
 2009-08-15        0 
 2009-08-16    6.125 
 2009-08-17        0 
 2009-08-18        0 
 2009-08-19   4.1875 
 2009-08-20  22.0625 
 2009-08-21    5.875 
 2009-08-22        0 
 2009-08-23   0.0625 
 2009-08-24        0 
 2009-08-25  11.5625 
 2009-08-26   0.5625 
 2009-08-27        0 
 2009-08-28   19.875 
 2009-08-29   4.6875 
 2009-08-30        1 
 2009-08-31    2.375 
 2009-09-01        0 
 2009-09-02        0 
 2009-09-03        0 
 2009-09-04        0 
 2009-09-05        0 
 2009-09-06        0 
 2009-09-07        0 
 2009-09-08        0 
 2009-09-09        0 
 2009-09-10        0 
 2009-09-11        0 
 2009-09-12        0 
 2009-09-13        0 
 2009-09-14        0 
 2009-09-15        0 
 2009-09-16        0 
 2009-09-17   0.0625 
 2009-09-18        0 
 2009-09-19        0 
 2009-09-20        0 
 2009-09-21        0 
 2009-09-22     1.25 
 2009-09-23        0 
 2009-09-24        0 
 2009-09-25    0.125 
 2009-09-26    4.125 
 2009-09-27   7.9375 
 2009-09-28    7.125 
 2009-09-29    1.625 
 2009-09-30        0 
 2009-10-01        0 
 2009-10-02  18.9375 
 2009-10-03   3.4375 
 2009-10-04   3.6875 
 2009-10-05        1 
 2009-10-06  30.4375 
 2009-10-07   5.9375 
 2009-10-08        0 
 2009-10-09        0 
 2009-10-10        0 
 2009-10-11        0 
 2009-10-12    1.125 
 2009-10-13   0.4375 
 2009-10-14        0 
 2009-10-15   0.3125 
 2009-10-16        0 
 2009-10-17    0.125 
 2009-10-18        0 
 2009-10-19        0 
 2009-10-20   0.0625 
 2009-10-21  10.8125 
 2009-10-22   7.1875 
 2009-10-23    8.875 
 2009-10-24    10.25 
 2009-10-25   9.1875 
 2009-10-26        1 
 2009-10-27        0 
 2009-10-28        0 
 2009-10-29      1.5 
 2009-10-30    6.125 
 2009-10-31     1.25 
 2009-11-01   0.0625 
 2009-11-02   0.1875 
 2009-11-03        0 
 2009-11-04     0.75 
 2009-11-05   0.0625 
 2009-11-06        0 
 2009-11-07        0 
 2009-11-08        0 
 2009-11-09        0 
 2009-11-10        0 
 2009-11-11        0 
 2009-11-12        0 
 2009-11-13        0 
 2009-11-14        0 
 2009-11-15        0 
 2009-11-16        0 
 2009-11-17        0 
 2009-11-18        0 
 2009-11-19    3.625 
 2009-11-20     0.25 
 2009-11-21        0 
 2009-11-22    0.125 
 2009-11-23   0.5625 
 2009-11-24        0 
 2009-11-25    0.625 
 2009-11-26    1.625 
 2009-11-27        0 
 2009-11-28        0 
 2009-11-29   3.9375 
 2009-11-30     0.25 
 2009-12-01   0.6875 
 2009-12-02     0.25 
 2009-12-03    0.625 
 2009-12-04   0.0625 
 2009-12-05      0.5 
 2009-12-06        0 
 2009-12-07        0 
 2009-12-08     0.25 
 2009-12-09   5.5625 
 2009-12-10    0.625 
 2009-12-11        0 
 2009-12-12        0 
 2009-12-13        0 
 2009-12-14   4.0625 
 2009-12-15   0.4375 
 2009-12-16        0 
 2009-12-17        0 
 2009-12-18        0 
 2009-12-19        0 
 2009-12-20        0 
 2009-12-21    0.625 
 2009-12-22        0 
 2009-12-23        0 
 2009-12-24   4.6875 
 2009-12-25   7.4375 
 2009-12-26   0.9375 
 2009-12-27    0.625 
 2009-12-28     0.75 
 2009-12-29        0 
 2009-12-30        0 
 2009-12-31    0.125 
