#      date    value 
 1982-01-01      1.5 
 1982-01-02    1.625 
 1982-01-03  16.3125 
 1982-01-04    19.75 
 1982-01-05   0.3125 
 1982-01-06   0.4375 
 1982-01-07        0 
 1982-01-08        0 
 1982-01-09    0.125 
 1982-01-10      0.5 
 1982-01-11        0 
 1982-01-12        0 
 1982-01-13        0 
 1982-01-14        0 
 1982-01-15        0 
 1982-01-16        0 
 1982-01-17        0 
 1982-01-18        0 
 1982-01-19        0 
 1982-01-20        0 
 1982-01-21      1.5 
 1982-01-22   0.6875 
 1982-01-23        0 
 1982-01-24   1.9375 
 1982-01-25        2 
 1982-01-26   3.3125 
 1982-01-27    0.125 
 1982-01-28     4.25 
 1982-01-29   3.1875 
 1982-01-30   2.0625 
 1982-01-31        0 
 1982-02-01        0 
 1982-02-02        0 
 1982-02-03        0 
 1982-02-04        0 
 1982-02-05        0 
 1982-02-06    2.125 
 1982-02-07    0.375 
 1982-02-08    5.625 
 1982-02-09   0.9375 
 1982-02-10        0 
 1982-02-11   0.0625 
 1982-02-12     1.25 
 1982-02-13        0 
 1982-02-14    0.875 
 1982-02-15        0 
 1982-02-16        0 
 1982-02-17        0 
 1982-02-18        0 
 1982-02-19        0 
 1982-02-20        0 
 1982-02-21        0 
 1982-02-22        0 
 1982-02-23        0 
 1982-02-24        0 
 1982-02-25        0 
 1982-02-26        0 
 1982-02-27    1.625 
 1982-02-28    1.125 
 1982-03-01    0.875 
 1982-03-02      0.5 
 1982-03-03  10.6875 
 1982-03-04   1.1875 
 1982-03-05        0 
 1982-03-06        0 
 1982-03-07        0 
 1982-03-08        0 
 1982-03-09        0 
 1982-03-10   5.0625 
 1982-03-11    1.625 
 1982-03-12   4.8125 
 1982-03-13   2.5625 
 1982-03-14   1.6875 
 1982-03-15    1.625 
 1982-03-16   2.1875 
 1982-03-17   1.8125 
 1982-03-18   0.1875 
 1982-03-19        2 
 1982-03-20    1.375 
 1982-03-21        0 
 1982-03-22        0 
 1982-03-23        0 
 1982-03-24        0 
 1982-03-25        0 
 1982-03-26        0 
 1982-03-27        0 
 1982-03-28        0 
 1982-03-29        0 
 1982-03-30   0.0625 
 1982-03-31        0 
 1982-04-01        0 
 1982-04-02        0 
 1982-04-03      1.5 
 1982-04-04        0 
 1982-04-05        0 
 1982-04-06        0 
 1982-04-07   4.8125 
 1982-04-08   2.9375 
 1982-04-09   0.0625 
 1982-04-10   0.0625 
 1982-04-11        0 
 1982-04-12        0 
 1982-04-13        0 
 1982-04-14        0 
 1982-04-15        0 
 1982-04-16        0 
 1982-04-17        0 
 1982-04-18        0 
 1982-04-19        0 
 1982-04-20        0 
 1982-04-21        0 
 1982-04-22        0 
 1982-04-23    3.375 
 1982-04-24        0 
 1982-04-25        0 
 1982-04-26        0 
 1982-04-27        0 
 1982-04-28   0.1875 
 1982-04-29   1.8125 
 1982-04-30     1.25 
 1982-05-01    1.375 
 1982-05-02     0.75 
 1982-05-03      6.5 
 1982-05-04     0.75 
 1982-05-05    0.625 
 1982-05-06        0 
 1982-05-07   9.1875 
 1982-05-08   8.5625 
 1982-05-09    1.875 
 1982-05-10   0.4375 
 1982-05-11        0 
 1982-05-12        0 
 1982-05-13        0 
 1982-05-14        0 
 1982-05-15        0 
 1982-05-16        0 
 1982-05-17    9.375 
 1982-05-18   0.1875 
 1982-05-19      8.5 
 1982-05-20    0.125 
 1982-05-21        2 
 1982-05-22      3.5 
 1982-05-23   6.1875 
 1982-05-24    0.125 
 1982-05-25    0.625 
 1982-05-26        0 
 1982-05-27        0 
 1982-05-28    0.125 
 1982-05-29        0 
 1982-05-30        0 
 1982-05-31        0 
 1982-06-01        0 
 1982-06-02        0 
 1982-06-03        0 
 1982-06-04        0 
 1982-06-05      0.5 
 1982-06-06    0.125 
 1982-06-07        0 
 1982-06-08        0 
 1982-06-09    0.125 
 1982-06-10        0 
 1982-06-11        0 
 1982-06-12   13.875 
 1982-06-13   1.9375 
 1982-06-14   5.4375 
 1982-06-15     2.75 
 1982-06-16        0 
 1982-06-17        0 
 1982-06-18        0 
 1982-06-19   0.0625 
 1982-06-20     0.25 
 1982-06-21        0 
 1982-06-22        0 
 1982-06-23   4.6875 
 1982-06-24        0 
 1982-06-25        0 
 1982-06-26   13.125 
 1982-06-27    0.375 
 1982-06-28   15.875 
 1982-06-29     4.25 
 1982-06-30   0.0625 
 1982-07-01        0 
 1982-07-02     2.25 
 1982-07-03  16.1875 
 1982-07-04    6.875 
 1982-07-05    3.375 
 1982-07-06   1.1875 
 1982-07-07        0 
 1982-07-08        0 
 1982-07-09        0 
 1982-07-10        0 
 1982-07-11        0 
 1982-07-12        0 
 1982-07-13        0 
 1982-07-14        0 
 1982-07-15   2.1875 
 1982-07-16     2.75 
 1982-07-17    0.125 
 1982-07-18   0.0625 
 1982-07-19        0 
 1982-07-20        0 
 1982-07-21        0 
 1982-07-22        0 
 1982-07-23        0 
 1982-07-24        0 
 1982-07-25        0 
 1982-07-26        0 
 1982-07-27        0 
 1982-07-28        0 
 1982-07-29        0 
 1982-07-30        0 
 1982-07-31        0 
 1982-08-01        0 
 1982-08-02        0 
 1982-08-03        0 
 1982-08-04        0 
 1982-08-05        0 
 1982-08-06        0 
 1982-08-07        0 
 1982-08-08      0.5 
 1982-08-09   3.4375 
 1982-08-10   0.3125 
 1982-08-11    0.125 
 1982-08-12   6.5625 
 1982-08-13   12.125 
 1982-08-14   3.4375 
 1982-08-15   0.8125 
 1982-08-16   9.1875 
 1982-08-17        7 
 1982-08-18     7.75 
 1982-08-19   6.8125 
 1982-08-20     5.75 
 1982-08-21   6.1875 
 1982-08-22        0 
 1982-08-23    2.125 
 1982-08-24    1.625 
 1982-08-25   4.9375 
 1982-08-26     0.25 
 1982-08-27     4.25 
 1982-08-28    0.125 
 1982-08-29        0 
 1982-08-30   6.1875 
 1982-08-31   2.4375 
 1982-09-01     0.25 
 1982-09-02   4.1875 
 1982-09-03   1.1875 
 1982-09-04    0.375 
 1982-09-05      3.5 
 1982-09-06   9.5625 
 1982-09-07     3.25 
 1982-09-08   1.0625 
 1982-09-09        0 
 1982-09-10        0 
 1982-09-11   0.0625 
 1982-09-12        0 
 1982-09-13   0.0625 
 1982-09-14        0 
 1982-09-15        0 
 1982-09-16        0 
 1982-09-17        0 
 1982-09-18        0 
 1982-09-19   0.0625 
 1982-09-20   6.9375 
 1982-09-21     10.5 
 1982-09-22        1 
 1982-09-23        0 
 1982-09-24     5.25 
 1982-09-25     1.75 
 1982-09-26    7.875 
 1982-09-27   0.1875 
 1982-09-28   1.0625 
 1982-09-29        0 
 1982-09-30   0.5625 
 1982-10-01        0 
 1982-10-02        0 
 1982-10-03        0 
 1982-10-04        0 
 1982-10-05   1.6875 
 1982-10-06   3.8125 
 1982-10-07   12.125 
 1982-10-08       29 
 1982-10-09   3.5625 
 1982-10-10    1.125 
 1982-10-11   0.3125 
 1982-10-12    4.125 
 1982-10-13     12.5 
 1982-10-14   0.3125 
 1982-10-15    0.125 
 1982-10-16   0.0625 
 1982-10-17   1.1875 
 1982-10-18   0.8125 
 1982-10-19        1 
 1982-10-20     14.5 
 1982-10-21   2.0625 
 1982-10-22     0.75 
 1982-10-23    0.125 
 1982-10-24        0 
 1982-10-25   6.5625 
 1982-10-26     0.75 
 1982-10-27      1.5 
 1982-10-28        0 
 1982-10-29        0 
 1982-10-30        0 
 1982-10-31        0 
 1982-11-01    1.125 
 1982-11-02   0.3125 
 1982-11-03        0 
 1982-11-04    0.375 
 1982-11-05        0 
 1982-11-06        0 
 1982-11-07        0 
 1982-11-08   0.0625 
 1982-11-09   1.6875 
 1982-11-10    1.625 
 1982-11-11   1.5625 
 1982-11-12   4.4375 
 1982-11-13   2.9375 
 1982-11-14   0.0625 
 1982-11-15   1.3125 
 1982-11-16   8.8125 
 1982-11-17     7.25 
 1982-11-18     5.75 
 1982-11-19   6.9375 
 1982-11-20    2.375 
 1982-11-21     5.75 
 1982-11-22     3.25 
 1982-11-23   4.8125 
 1982-11-24  13.0625 
 1982-11-25     2.75 
 1982-11-26        4 
 1982-11-27    0.125 
 1982-11-28    0.625 
 1982-11-29      0.5 
 1982-11-30        0 
 1982-12-01        0 
 1982-12-02        0 
 1982-12-03        0 
 1982-12-04    0.625 
 1982-12-05   2.6875 
 1982-12-06    1.625 
 1982-12-07    0.125 
 1982-12-08      4.5 
 1982-12-09   8.3125 
 1982-12-10  11.1875 
 1982-12-11   1.1875 
 1982-12-12     0.25 
 1982-12-13        0 
 1982-12-14   0.8125 
 1982-12-15  23.5625 
 1982-12-16     3.25 
 1982-12-17   0.8125 
 1982-12-18        0 
 1982-12-19   7.1875 
 1982-12-20   6.3125 
 1982-12-21   12.625 
 1982-12-22    0.875 
 1982-12-23   2.1875 
 1982-12-24   2.9375 
 1982-12-25        0 
 1982-12-26   0.3125 
 1982-12-27   7.8125 
 1982-12-28    0.375 
 1982-12-29        0 
 1982-12-30     0.25 
 1982-12-31   0.4375 
